catalogue_item_id,category,entity_type,phase,model,fold,concept_or_target,result_name,scientific_question,scientific_status,availability_status,report_usage_status,source_artifact_id,source_root_alias,source_relative_path,source_field_path,source_sha256,row_or_sample_count,privacy_class,new_inference_required,report_section_id,report_table_ids,report_figure_ids,omission_reason,approval_reference,integrity_status,details
RES-P10-TABLE-RPT-T01,CAT-O,planned_scientific_table,P10,,,,Related-work comparison,Which frozen evidence supports this planned report table?,PASS,VISUALIZATION_NOT_YET_RENDERED_BUT_FROZEN_DATA_EXISTS,USED_MAIN_TEXT,ART-P10-REPORT-PLAN,repo://,docs/results/P10_CATALOGUE_DRIVEN_BILINGUAL_REPORT_PLAN.md,RPT-T01,be33c07d566914d40bd50fba65b347118e706940a64495782cf0245f7914629c,,PUBLIC_DEIDENTIFIED,False,SEC-RELATED-WORK,"[""RPT-T01""]",[],,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""categorical_target_semantics"":null,""evidence_categories"":""A"",""new_inference_required"":false,""planned_table_id"":""RPT-T01"",""render_status"":""NOT_RENDERED_AT_CATALOGUE_GATE""}"
RES-P10-TABLE-RPT-T02,CAT-O,planned_scientific_table,P10,,,,Frozen cohort flow,Which frozen evidence supports this planned report table?,PASS,VISUALIZATION_NOT_YET_RENDERED_BUT_FROZEN_DATA_EXISTS,USED_MAIN_TEXT,ART-P10-REPORT-PLAN,repo://,docs/results/P10_CATALOGUE_DRIVEN_BILINGUAL_REPORT_PLAN.md,RPT-T02,be33c07d566914d40bd50fba65b347118e706940a64495782cf0245f7914629c,,PUBLIC_DEIDENTIFIED,False,SEC-DATASET,"[""RPT-T02""]",[],,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""categorical_target_semantics"":null,""evidence_categories"":""A"",""new_inference_required"":false,""planned_table_id"":""RPT-T02"",""render_status"":""NOT_RENDERED_AT_CATALOGUE_GATE""}"
RES-P10-TABLE-RPT-T03,CAT-O,planned_scientific_table,P10,,,,Target and concept definitions,Which frozen evidence supports this planned report table?,PASS,VISUALIZATION_NOT_YET_RENDERED_BUT_FROZEN_DATA_EXISTS,USED_MAIN_TEXT,ART-P10-REPORT-PLAN,repo://,docs/results/P10_CATALOGUE_DRIVEN_BILINGUAL_REPORT_PLAN.md,RPT-T03,be33c07d566914d40bd50fba65b347118e706940a64495782cf0245f7914629c,,PUBLIC_DEIDENTIFIED,False,SEC-DATASET,"[""RPT-T03""]",[],,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""categorical_target_semantics"":null,""evidence_categories"":""G"",""new_inference_required"":false,""planned_table_id"":""RPT-T03"",""render_status"":""NOT_RENDERED_AT_CATALOGUE_GATE""}"
RES-P10-TABLE-RPT-T04,CAT-O,planned_scientific_table,P10,,,,Four-model architecture comparison,Which frozen evidence supports this planned report table?,PASS,VISUALIZATION_NOT_YET_RENDERED_BUT_FROZEN_DATA_EXISTS,USED_MAIN_TEXT,ART-P10-REPORT-PLAN,repo://,docs/results/P10_CATALOGUE_DRIVEN_BILINGUAL_REPORT_PLAN.md,RPT-T04,be33c07d566914d40bd50fba65b347118e706940a64495782cf0245f7914629c,,PUBLIC_DEIDENTIFIED,False,SEC-METHODS,"[""RPT-T04""]",[],,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""categorical_target_semantics"":null,""evidence_categories"":""A"",""new_inference_required"":false,""planned_table_id"":""RPT-T04"",""render_status"":""NOT_RENDERED_AT_CATALOGUE_GATE""}"
RES-P10-TABLE-RPT-T05,CAT-O,planned_scientific_table,P10,,,,Frozen training configuration,Which frozen evidence supports this planned report table?,PASS,VISUALIZATION_NOT_YET_RENDERED_BUT_FROZEN_DATA_EXISTS,USED_MAIN_TEXT,ART-P10-REPORT-PLAN,repo://,docs/results/P10_CATALOGUE_DRIVEN_BILINGUAL_REPORT_PLAN.md,RPT-T05,be33c07d566914d40bd50fba65b347118e706940a64495782cf0245f7914629c,,PUBLIC_DEIDENTIFIED,False,SEC-EXPERIMENTAL-SETUP,"[""RPT-T05""]",[],,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""categorical_target_semantics"":null,""evidence_categories"":""B"",""new_inference_required"":false,""planned_table_id"":""RPT-T05"",""render_status"":""NOT_RENDERED_AT_CATALOGUE_GATE""}"
RES-P10-TABLE-RPT-T06,CAT-O,planned_scientific_table,P10,,,,Evaluation protocol,Which frozen evidence supports this planned report table?,PASS,VISUALIZATION_NOT_YET_RENDERED_BUT_FROZEN_DATA_EXISTS,USED_MAIN_TEXT,ART-P10-REPORT-PLAN,repo://,docs/results/P10_CATALOGUE_DRIVEN_BILINGUAL_REPORT_PLAN.md,RPT-T06,be33c07d566914d40bd50fba65b347118e706940a64495782cf0245f7914629c,,PUBLIC_DEIDENTIFIED,False,SEC-EXPERIMENTAL-SETUP,"[""RPT-T06""]",[],,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""categorical_target_semantics"":null,""evidence_categories"":""A"",""new_inference_required"":false,""planned_table_id"":""RPT-T06"",""render_status"":""NOT_RENDERED_AT_CATALOGUE_GATE""}"
RES-P10-TABLE-RPT-T07,CAT-O,planned_scientific_table,P10,,,,Primary regression,Which frozen evidence supports this planned report table?,PASS,VISUALIZATION_NOT_YET_RENDERED_BUT_FROZEN_DATA_EXISTS,USED_MAIN_TEXT,ART-P10-REPORT-PLAN,repo://,docs/results/P10_CATALOGUE_DRIVEN_BILINGUAL_REPORT_PLAN.md,RPT-T07,be33c07d566914d40bd50fba65b347118e706940a64495782cf0245f7914629c,,PUBLIC_DEIDENTIFIED,False,SEC-RESULTS-PREDICTION,"[""RPT-T07""]",[],,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""categorical_target_semantics"":null,""evidence_categories"":""C"",""new_inference_required"":false,""planned_table_id"":""RPT-T07"",""render_status"":""NOT_RENDERED_AT_CATALOGUE_GATE""}"
RES-P10-TABLE-RPT-T08,CAT-O,planned_scientific_table,P10,,,,Six paired Delta-MAE comparisons,Which frozen evidence supports this planned report table?,PASS,VISUALIZATION_NOT_YET_RENDERED_BUT_FROZEN_DATA_EXISTS,USED_MAIN_TEXT,ART-P10-REPORT-PLAN,repo://,docs/results/P10_CATALOGUE_DRIVEN_BILINGUAL_REPORT_PLAN.md,RPT-T08,be33c07d566914d40bd50fba65b347118e706940a64495782cf0245f7914629c,,PUBLIC_DEIDENTIFIED,False,SEC-RESULTS-PREDICTION,"[""RPT-T08""]",[],,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""categorical_target_semantics"":null,""evidence_categories"":""D"",""new_inference_required"":false,""planned_table_id"":""RPT-T08"",""render_status"":""NOT_RENDERED_AT_CATALOGUE_GATE""}"
RES-P10-TABLE-RPT-T09,CAT-O,planned_scientific_table,P10,,,,Extreme-task performance,Which frozen evidence supports this planned report table?,PASS,VISUALIZATION_NOT_YET_RENDERED_BUT_FROZEN_DATA_EXISTS,USED_MAIN_TEXT,ART-P10-REPORT-PLAN,repo://,docs/results/P10_CATALOGUE_DRIVEN_BILINGUAL_REPORT_PLAN.md,RPT-T09,be33c07d566914d40bd50fba65b347118e706940a64495782cf0245f7914629c,,PUBLIC_DEIDENTIFIED,False,SEC-RESULTS-PREDICTION,"[""RPT-T09""]",[],,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""categorical_target_semantics"":null,""evidence_categories"":""E"",""new_inference_required"":false,""planned_table_id"":""RPT-T09"",""render_status"":""NOT_RENDERED_AT_CATALOGUE_GATE""}"
RES-P10-TABLE-RPT-T10,CAT-O,planned_scientific_table,P10,,,,Six paired Delta-AUROC comparisons,Which frozen evidence supports this planned report table?,PASS,VISUALIZATION_NOT_YET_RENDERED_BUT_FROZEN_DATA_EXISTS,USED_MAIN_TEXT,ART-P10-REPORT-PLAN,repo://,docs/results/P10_CATALOGUE_DRIVEN_BILINGUAL_REPORT_PLAN.md,RPT-T10,be33c07d566914d40bd50fba65b347118e706940a64495782cf0245f7914629c,,PUBLIC_DEIDENTIFIED,False,SEC-RESULTS-PREDICTION,"[""RPT-T10""]",[],,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""categorical_target_semantics"":null,""evidence_categories"":""F"",""new_inference_required"":false,""planned_table_id"":""RPT-T10"",""render_status"":""NOT_RENDERED_AT_CATALOGUE_GATE""}"
