Assigned report section,Catalogue Item ID,Existing visualization?,Exists?,Figure IDs,Figure renderable?,Fold,Frozen source,Integrity status,Model,New inference required?,Notes,Phase,Public / Private,Report placement,Result / Artifact type,Scientific content,Table IDs,Table renderable?,Visualization status
SEC-REPRODUCIBILITY,RES-P0-PHASE-OVERVIEW,False,True,,False,ALL/NA,repo://docs/results/catalogue_phase_status_snapshot.json,VERIFIED,ALL/NA,False,,P0,PUBLIC_DEIDENTIFIED,Audit-only,phase_overview,Environment and deterministic regression smoke,,False,RESULT_ALREADY_EXISTS
SEC-REPRODUCIBILITY,RES-P1-PHASE-OVERVIEW,False,True,,False,ALL/NA,repo://docs/results/catalogue_phase_status_snapshot.json,VERIFIED,ALL/NA,False,,P1,PUBLIC_DEIDENTIFIED,Audit-only,phase_overview,Canonical DICOM/XML mapping and geometry audit,,False,RESULT_ALREADY_EXISTS
SEC-REPRODUCIBILITY,RES-P2-PHASE-OVERVIEW,False,True,,False,ALL/NA,repo://docs/results/catalogue_phase_status_snapshot.json,VERIFIED,ALL/NA,False,,P2,PUBLIC_DEIDENTIFIED,Audit-only,phase_overview,Physical-nodule cohort and target materialization,,False,RESULT_ALREADY_EXISTS
SEC-REPRODUCIBILITY,RES-P3-PHASE-OVERVIEW,False,True,,False,ALL/NA,repo://docs/results/catalogue_phase_status_snapshot.json,VERIFIED,ALL/NA,False,,P3,PUBLIC_DEIDENTIFIED,Audit-only,phase_overview,Consensus masks and deterministic 64-cubed ROI,,False,RESULT_ALREADY_EXISTS
SEC-REPRODUCIBILITY,RES-P4-PHASE-OVERVIEW,False,True,,False,ALL/NA,repo://docs/results/catalogue_phase_status_snapshot.json,VERIFIED,ALL/NA,False,,P4,PUBLIC_DEIDENTIFIED,Audit-only,phase_overview,Patient-grouped folds and shared encoder initializations,,False,RESULT_ALREADY_EXISTS
SEC-REPRODUCIBILITY,RES-P5-PHASE-OVERVIEW,False,True,,False,ALL/NA,repo://docs/results/catalogue_phase_status_snapshot.json,VERIFIED,ALL/NA,False,,P5,PUBLIC_DEIDENTIFIED,Appendix,phase_overview,Black-box regression,,False,RESULT_ALREADY_EXISTS
SEC-REPRODUCIBILITY,RES-P6-PHASE-OVERVIEW,False,True,,False,ALL/NA,repo://docs/results/catalogue_phase_status_snapshot.json,VERIFIED,ALL/NA,False,,P6,PUBLIC_DEIDENTIFIED,Appendix,phase_overview,Sequential Standard CBM regression,,False,RESULT_ALREADY_EXISTS
SEC-REPRODUCIBILITY,RES-P7-PHASE-OVERVIEW,False,True,,False,ALL/NA,repo://docs/results/catalogue_phase_status_snapshot.json,VERIFIED,ALL/NA,False,,P7,PUBLIC_DEIDENTIFIED,Appendix,phase_overview,Mixed-type CEM regression,,False,RESULT_ALREADY_EXISTS
SEC-REPRODUCIBILITY,RES-P8-PHASE-OVERVIEW,False,True,,False,ALL/NA,repo://docs/results/catalogue_phase_status_snapshot.json,VERIFIED,ALL/NA,False,,P8,PUBLIC_DEIDENTIFIED,Appendix,phase_overview,Learned-softmax GAM regression,,False,RESULT_ALREADY_EXISTS
SEC-REPRODUCIBILITY,RES-P9-PHASE-OVERVIEW,False,True,,False,ALL/NA,repo://docs/results/catalogue_phase_status_snapshot.json,VERIFIED,ALL/NA,False,,P9,PUBLIC_DEIDENTIFIED,Appendix,phase_overview,"Unified evaluation, intervention, and spatial explanation",,False,RESULT_ALREADY_EXISTS
SEC-REPRODUCIBILITY,RES-P10-PHASE-OVERVIEW,False,True,,False,ALL/NA,repo://docs/results/catalogue_phase_status_snapshot.json,VERIFIED,ALL/NA,False,,P10,PUBLIC_DEIDENTIFIED,Appendix,phase_overview,"Catalogue, bilingual reporting, and private archive",,False,RESULT_ALREADY_EXISTS
SEC-RESULTS,RES-P9-TASK-EVALUATION,False,True,,False,ALL/NA,repo://artifacts/baseline_v2/audit/p9/task.json,VERIFIED,ALL/NA,False,,P9,PUBLIC_DEIDENTIFIED,Main report,phase_component,Task Evaluation,,False,RESULT_ALREADY_EXISTS
SEC-RESULTS,RES-P9-BOOTSTRAP,False,True,,False,ALL/NA,repo://artifacts/baseline_v2/audit/p9/bootstrap.json,VERIFIED,ALL/NA,False,,P9,PUBLIC_DEIDENTIFIED,Main report,phase_component,Bootstrap,,False,RESULT_ALREADY_EXISTS
SEC-RESULTS,RES-P9-CONCEPT-FIDELITY,False,True,,False,ALL/NA,repo://artifacts/baseline_v2/audit/p9/concept.json,VERIFIED,ALL/NA,False,,P9,PUBLIC_DEIDENTIFIED,Main report,phase_component,Concept Fidelity,,False,RESULT_ALREADY_EXISTS
SEC-RESULTS,RES-P9-INTERVENTION,False,True,,False,ALL/NA,repo://artifacts/baseline_v2/audit/p9/intervention.json,VERIFIED,ALL/NA,False,,P9,PUBLIC_DEIDENTIFIED,Main report,phase_component,Intervention,,False,RESULT_ALREADY_EXISTS
SEC-RESULTS,RES-P9-CONTRIBUTION-CENTERING,False,True,,False,ALL/NA,repo://artifacts/baseline_v2/audit/p9/contribution_centering.json,VERIFIED,ALL/NA,False,,P9,PUBLIC_DEIDENTIFIED,Main report,phase_component,Contribution Centering,,False,RESULT_ALREADY_EXISTS
SEC-RESULTS,RES-P9-GRADCAM,False,True,,False,ALL/NA,repo://artifacts/baseline_v2/audit/p9/spatial.json,VERIFIED,ALL/NA,False,,P9,PUBLIC_DEIDENTIFIED,Main report,phase_component,Gradcam,,False,RESULT_ALREADY_EXISTS
SEC-RESULTS,RES-P9-OCCLUSION-FAITHFULNESS,False,True,,False,ALL/NA,repo://artifacts/baseline_v2/audit/p9/spatial.json,VERIFIED,ALL/NA,False,,P9,PUBLIC_DEIDENTIFIED,Main report,phase_component,Occlusion Faithfulness,,False,RESULT_ALREADY_EXISTS
SEC-RESULTS,RES-P9-UNDEFINED-MAP-RCA,False,True,,False,ALL/NA,repo://artifacts/baseline_v2/audit/p9/spatial.json,VERIFIED,ALL/NA,False,,P9,PUBLIC_DEIDENTIFIED,Main report,phase_component,Undefined Map Rca,,False,RESULT_ALREADY_EXISTS
SEC-EXPERIMENTAL-SETUP,RES-P5-BLACKBOX-FOLD0-TRAIN-TEST,False,True,,False,0,repo://artifacts/baseline_v2/audit/p5/fold_0.json,VERIFIED,blackbox,False,,P5,PRIVATE_SOURCE_PUBLIC_AUDIT,Appendix,model_fold_run,"Frozen training, best checkpoint, and exactly-once test evaluation",RPT-T05,True,RESULT_ALREADY_EXISTS
SEC-EXPERIMENTAL-SETUP,RES-P5-BLACKBOX-FOLD1-TRAIN-TEST,False,True,,False,1,repo://artifacts/baseline_v2/audit/p5/fold_1.json,VERIFIED,blackbox,False,,P5,PRIVATE_SOURCE_PUBLIC_AUDIT,Appendix,model_fold_run,"Frozen training, best checkpoint, and exactly-once test evaluation",RPT-T05,True,RESULT_ALREADY_EXISTS
SEC-EXPERIMENTAL-SETUP,RES-P5-BLACKBOX-FOLD2-TRAIN-TEST,False,True,,False,2,repo://artifacts/baseline_v2/audit/p5/fold_2.json,VERIFIED,blackbox,False,,P5,PRIVATE_SOURCE_PUBLIC_AUDIT,Appendix,model_fold_run,"Frozen training, best checkpoint, and exactly-once test evaluation",RPT-T05,True,RESULT_ALREADY_EXISTS
SEC-EXPERIMENTAL-SETUP,RES-P5-BLACKBOX-FOLD3-TRAIN-TEST,False,True,,False,3,repo://artifacts/baseline_v2/audit/p5/fold_3.json,VERIFIED,blackbox,False,,P5,PRIVATE_SOURCE_PUBLIC_AUDIT,Appendix,model_fold_run,"Frozen training, best checkpoint, and exactly-once test evaluation",RPT-T05,True,RESULT_ALREADY_EXISTS
SEC-EXPERIMENTAL-SETUP,RES-P5-BLACKBOX-FOLD4-TRAIN-TEST,False,True,,False,4,repo://artifacts/baseline_v2/audit/p5/fold_4.json,VERIFIED,blackbox,False,,P5,PRIVATE_SOURCE_PUBLIC_AUDIT,Appendix,model_fold_run,"Frozen training, best checkpoint, and exactly-once test evaluation",RPT-T05,True,RESULT_ALREADY_EXISTS
SEC-RESULTS-PREDICTION,RES-P9-OOF-BLACKBOX,False,True,"RPT-F04, RPT-F06",True,ALL/NA,mac-archive://p9/canonical_oof/blackbox_oof_predictions.parquet,VERIFIED,blackbox,False,,P9,PRIVATE_RESTRICTED,Appendix,pooled_oof,Canonical pooled OOF prediction set,"RPT-T07, RPT-T09",True,RESULT_ALREADY_EXISTS
SEC-EXPERIMENTAL-SETUP,RES-P6-STANDARD_CBM-FOLD0-TRAIN-TEST,False,True,,False,0,repo://artifacts/baseline_v2/audit/p6/fold_0.json,VERIFIED,standard_cbm,False,,P6,PRIVATE_SOURCE_PUBLIC_AUDIT,Appendix,model_fold_run,"Frozen training, best checkpoint, and exactly-once test evaluation",RPT-T05,True,RESULT_ALREADY_EXISTS
SEC-EXPERIMENTAL-SETUP,RES-P6-STANDARD_CBM-FOLD1-TRAIN-TEST,False,True,,False,1,repo://artifacts/baseline_v2/audit/p6/fold_1.json,VERIFIED,standard_cbm,False,,P6,PRIVATE_SOURCE_PUBLIC_AUDIT,Appendix,model_fold_run,"Frozen training, best checkpoint, and exactly-once test evaluation",RPT-T05,True,RESULT_ALREADY_EXISTS
SEC-EXPERIMENTAL-SETUP,RES-P6-STANDARD_CBM-FOLD2-TRAIN-TEST,False,True,,False,2,repo://artifacts/baseline_v2/audit/p6/fold_2.json,VERIFIED,standard_cbm,False,,P6,PRIVATE_SOURCE_PUBLIC_AUDIT,Appendix,model_fold_run,"Frozen training, best checkpoint, and exactly-once test evaluation",RPT-T05,True,RESULT_ALREADY_EXISTS
