catalogue_item_id,category,entity_type,phase,model,fold,concept_or_target,result_name,scientific_question,scientific_status,availability_status,report_usage_status,source_artifact_id,source_root_alias,source_relative_path,source_field_path,source_sha256,row_or_sample_count,privacy_class,new_inference_required,report_section_id,report_table_ids,report_figure_ids,omission_reason,approval_reference,integrity_status,details
RES-P0-PHASE-OVERVIEW,CAT-A,phase_overview,P0,,,,Environment and deterministic regression smoke,What was completed in this protocol phase?,PASS,RESULT_ALREADY_EXISTS,AUDIT_ONLY,ART-PROJECT-STATUS,repo://,docs/PROJECT_STATUS.md,phase_history.P0,6e467e0945c0afc0ffe5df8b22a76bf0d76d1033ce387f76c3acee249675c8db,,PUBLIC_DEIDENTIFIED,False,SEC-REPRODUCIBILITY,[],[],,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""component"":""phase_summary"",""purpose"":""Environment and deterministic regression smoke""}"
RES-P1-PHASE-OVERVIEW,CAT-A,phase_overview,P1,,,,Canonical DICOM/XML mapping and geometry audit,What was completed in this protocol phase?,PASS,RESULT_ALREADY_EXISTS,AUDIT_ONLY,ART-PROJECT-STATUS,repo://,docs/PROJECT_STATUS.md,phase_history.P1,6e467e0945c0afc0ffe5df8b22a76bf0d76d1033ce387f76c3acee249675c8db,,PUBLIC_DEIDENTIFIED,False,SEC-REPRODUCIBILITY,[],[],,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""component"":""phase_summary"",""purpose"":""Canonical DICOM/XML mapping and geometry audit""}"
RES-P2-PHASE-OVERVIEW,CAT-A,phase_overview,P2,,,,Physical-nodule cohort and target materialization,What was completed in this protocol phase?,PASS,RESULT_ALREADY_EXISTS,AUDIT_ONLY,ART-PROJECT-STATUS,repo://,docs/PROJECT_STATUS.md,phase_history.P2,6e467e0945c0afc0ffe5df8b22a76bf0d76d1033ce387f76c3acee249675c8db,,PUBLIC_DEIDENTIFIED,False,SEC-REPRODUCIBILITY,[],[],,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""component"":""phase_summary"",""purpose"":""Physical-nodule cohort and target materialization""}"
RES-P3-PHASE-OVERVIEW,CAT-A,phase_overview,P3,,,,Consensus masks and deterministic 64-cubed ROI,What was completed in this protocol phase?,PASS,RESULT_ALREADY_EXISTS,AUDIT_ONLY,ART-PROJECT-STATUS,repo://,docs/PROJECT_STATUS.md,phase_history.P3,6e467e0945c0afc0ffe5df8b22a76bf0d76d1033ce387f76c3acee249675c8db,,PUBLIC_DEIDENTIFIED,False,SEC-REPRODUCIBILITY,[],[],,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""component"":""phase_summary"",""purpose"":""Consensus masks and deterministic 64-cubed ROI""}"
RES-P4-PHASE-OVERVIEW,CAT-A,phase_overview,P4,,,,Patient-grouped folds and shared encoder initializations,What was completed in this protocol phase?,PASS,RESULT_ALREADY_EXISTS,AUDIT_ONLY,ART-PROJECT-STATUS,repo://,docs/PROJECT_STATUS.md,phase_history.P4,6e467e0945c0afc0ffe5df8b22a76bf0d76d1033ce387f76c3acee249675c8db,,PUBLIC_DEIDENTIFIED,False,SEC-REPRODUCIBILITY,[],[],,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""component"":""phase_summary"",""purpose"":""Patient-grouped folds and shared encoder initializations""}"
RES-P5-PHASE-OVERVIEW,CAT-A,phase_overview,P5,,,,Black-box regression,What was completed in this protocol phase?,PASS,RESULT_ALREADY_EXISTS,USED_APPENDIX,ART-PROJECT-STATUS,repo://,docs/PROJECT_STATUS.md,phase_history.P5,6e467e0945c0afc0ffe5df8b22a76bf0d76d1033ce387f76c3acee249675c8db,,PUBLIC_DEIDENTIFIED,False,SEC-REPRODUCIBILITY,[],[],,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""component"":""phase_summary"",""purpose"":""Black-box regression""}"
RES-P6-PHASE-OVERVIEW,CAT-A,phase_overview,P6,,,,Sequential Standard CBM regression,What was completed in this protocol phase?,PASS,RESULT_ALREADY_EXISTS,USED_APPENDIX,ART-PROJECT-STATUS,repo://,docs/PROJECT_STATUS.md,phase_history.P6,6e467e0945c0afc0ffe5df8b22a76bf0d76d1033ce387f76c3acee249675c8db,,PUBLIC_DEIDENTIFIED,False,SEC-REPRODUCIBILITY,[],[],,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""component"":""phase_summary"",""purpose"":""Sequential Standard CBM regression""}"
RES-P7-PHASE-OVERVIEW,CAT-A,phase_overview,P7,,,,Mixed-type CEM regression,What was completed in this protocol phase?,PASS,RESULT_ALREADY_EXISTS,USED_APPENDIX,ART-PROJECT-STATUS,repo://,docs/PROJECT_STATUS.md,phase_history.P7,6e467e0945c0afc0ffe5df8b22a76bf0d76d1033ce387f76c3acee249675c8db,,PUBLIC_DEIDENTIFIED,False,SEC-REPRODUCIBILITY,[],[],,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""component"":""phase_summary"",""purpose"":""Mixed-type CEM regression""}"
RES-P8-PHASE-OVERVIEW,CAT-A,phase_overview,P8,,,,Learned-softmax GAM regression,What was completed in this protocol phase?,PASS,RESULT_ALREADY_EXISTS,USED_APPENDIX,ART-PROJECT-STATUS,repo://,docs/PROJECT_STATUS.md,phase_history.P8,6e467e0945c0afc0ffe5df8b22a76bf0d76d1033ce387f76c3acee249675c8db,,PUBLIC_DEIDENTIFIED,False,SEC-REPRODUCIBILITY,[],[],,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""component"":""phase_summary"",""purpose"":""Learned-softmax GAM regression""}"
RES-P9-PHASE-OVERVIEW,CAT-A,phase_overview,P9,,,,"Unified evaluation, intervention, and spatial explanation",What was completed in this protocol phase?,PASS,RESULT_ALREADY_EXISTS,USED_APPENDIX,ART-PROJECT-STATUS,repo://,docs/PROJECT_STATUS.md,phase_history.P9,6e467e0945c0afc0ffe5df8b22a76bf0d76d1033ce387f76c3acee249675c8db,,PUBLIC_DEIDENTIFIED,False,SEC-REPRODUCIBILITY,[],[],,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""component"":""phase_summary"",""purpose"":""Unified evaluation, intervention, and spatial explanation""}"
RES-P10-PHASE-OVERVIEW,CAT-A,phase_overview,P10,,,,"Catalogue, bilingual reporting, and private archive",What was completed in this protocol phase?,PASS,RESULT_ALREADY_EXISTS,USED_APPENDIX,ART-PROJECT-STATUS,repo://,docs/PROJECT_STATUS.md,phase_history.P10,6e467e0945c0afc0ffe5df8b22a76bf0d76d1033ce387f76c3acee249675c8db,,PUBLIC_DEIDENTIFIED,False,SEC-REPRODUCIBILITY,[],[],,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""component"":""phase_summary"",""purpose"":""Catalogue, bilingual reporting, and private archive""}"
RES-P9-TASK-EVALUATION,CAT-A,phase_component,P9,,,,Task Evaluation,Which P9 evaluation component produced this evidence?,PASS,RESULT_ALREADY_EXISTS,USED_MAIN_TEXT,ART-P9-TASK,repo://,artifacts/baseline_v2/audit/p9/task.json,$,d62eb69568af89301c816fc505c129ab2a60cece3aff1dd66ccec567d20dfa01,,PUBLIC_DEIDENTIFIED,False,SEC-RESULTS,[],[],,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""component"":""task_evaluation"",""scientific_status"":""PASS""}"
RES-P9-BOOTSTRAP,CAT-A,phase_component,P9,,,,Bootstrap,Which P9 evaluation component produced this evidence?,PASS,RESULT_ALREADY_EXISTS,USED_MAIN_TEXT,ART-P9-BOOTSTRAP,repo://,artifacts/baseline_v2/audit/p9/bootstrap.json,$,6f834a47aeb2f10c5cfe84cd6ccdbc5c4229ff047f504b770e5d82ddd20bbb71,,PUBLIC_DEIDENTIFIED,False,SEC-RESULTS,[],[],,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""component"":""bootstrap"",""scientific_status"":""PASS""}"
