catalogue_item_id,category,entity_type,phase,model,fold,concept_or_target,result_name,scientific_question,scientific_status,availability_status,report_usage_status,source_artifact_id,source_root_alias,source_relative_path,source_field_path,source_sha256,row_or_sample_count,privacy_class,new_inference_required,report_section_id,report_table_ids,report_figure_ids,omission_reason,approval_reference,integrity_status,details
RES-P9-FAITHFULNESS-BLACKBOX-MALIGNANCY,CAT-N,spatial_faithfulness_model_target,P9,blackbox,,malignancy,Matched-random spatial faithfulness,Does saliency occlusion differ from matched random occlusion?,PASS,RESULT_ALREADY_EXISTS,USED_MAIN_TEXT,ART-P9-SPATIAL,repo://,artifacts/baseline_v2/audit/p9/spatial.json,models.blackbox.pooled_targets.malignancy,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf,2429,PUBLIC_DEIDENTIFIED,False,SEC-RESULTS-WHERE,"[""RPT-T14""]","[""RPT-F08""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""error_increase"":{""mean"":0.0028693380174386186,""median"":0.0,""percentile_2_5"":-0.06381279826164246,""percentile_97_5"":0.07640693336725232,""saliency_greater_than_matched_random_mean_rate"":0.1440922190201729,""saliency_minus_matched_random_mean"":{""mean"":-0.23540014132767986,""median"":-0.24317418932914736,""percentile_2_5"":-0.7075545760989189,""percentile_97_5"":0.19582875549793236,""sd"":0.22177761087998116},""sample_count"":2429,""sd"":0.034112373915857266},""interpretation"":{""error_increase"":""positive means prediction error worsened"",""output_sensitivity"":""absolute output movement only""},""matched_random_values_per_valid_map"":20,""output_sensitivity"":{""mean"":0.025156586946855915,""median"":0.017182469367980957,""percentile_2_5"":0.0,""percentile_97_5"":0.09506308436393733,""saliency_greater_than_matched_random_mean_rate"":0.008645533141210375,""saliency_minus_matched_random_mean"":{""mean"":-0.3225296794727311,""median"":-0.3162633866071701,""percentile_2_5"":-0.7498106533288956,""percentile_97_5"":-0.01483381047844888,""sd"":0.18186598698186665},""sample_count"":2429,""sd"":0.027525741510950687},""valid_map_count"":2429}"
RES-P9-FAITHFULNESS-BLACKBOX-POOLED,CAT-N,spatial_faithfulness_model_pooled,P9,blackbox,,,All-target pooled spatial faithfulness,What is the model-wide saliency versus random pattern?,PASS,RESULT_ALREADY_EXISTS,USED_MAIN_TEXT,ART-P9-SPATIAL,repo://,artifacts/baseline_v2/audit/p9/spatial.json,models.blackbox.pooled_all_targets,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf,2429,PUBLIC_DEIDENTIFIED,False,SEC-RESULTS-WHERE,"[""RPT-T14""]","[""RPT-F08""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""error_increase"":{""mean"":0.0028693380174386186,""median"":0.0,""percentile_2_5"":-0.06381279826164246,""percentile_97_5"":0.07640693336725232,""saliency_greater_than_matched_random_mean_rate"":0.1440922190201729,""saliency_minus_matched_random_mean"":{""mean"":-0.23540014132767986,""median"":-0.24317418932914736,""percentile_2_5"":-0.7075545760989189,""percentile_97_5"":0.19582875549793236,""sd"":0.22177761087998116},""sample_count"":2429,""sd"":0.034112373915857266},""output_sensitivity"":{""mean"":0.025156586946855915,""median"":0.017182469367980957,""percentile_2_5"":0.0,""percentile_97_5"":0.09506308436393733,""saliency_greater_than_matched_random_mean_rate"":0.008645533141210375,""saliency_minus_matched_random_mean"":{""mean"":-0.3225296794727311,""median"":-0.3162633866071701,""percentile_2_5"":-0.7498106533288956,""percentile_97_5"":-0.01483381047844888,""sd"":0.18186598698186665},""sample_count"":2429,""sd"":0.027525741510950687}}"
RES-P9-FAITHFULNESS-STANDARD_CBM-MALIGNANCY,CAT-N,spatial_faithfulness_model_target,P9,standard_cbm,,malignancy,Matched-random spatial faithfulness,Does saliency occlusion differ from matched random occlusion?,PASS,RESULT_ALREADY_EXISTS,USED_MAIN_TEXT,ART-P9-SPATIAL,repo://,artifacts/baseline_v2/audit/p9/spatial.json,models.standard_cbm.pooled_targets.malignancy,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf,2398,PUBLIC_DEIDENTIFIED,False,SEC-RESULTS-WHERE,"[""RPT-T14""]","[""RPT-F08""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""error_increase"":{""mean"":0.0028206679026534375,""median"":0.0007414370775222778,""percentile_2_5"":-0.051037478446960445,""percentile_97_5"":0.06024632528424262,""saliency_greater_than_matched_random_mean_rate"":0.2268557130942452,""saliency_minus_matched_random_mean"":{""mean"":-0.13998371891714662,""median"":-0.14663650393486022,""percentile_2_5"":-0.47718906776979564,""percentile_97_5"":0.19036626391112782,""sd"":0.17414157776809802},""sample_count"":2398,""sd"":0.025217357436989954},""interpretation"":{""error_increase"":""positive means prediction error worsened"",""output_sensitivity"":""absolute output movement only""},""matched_random_values_per_valid_map"":20,""output_sensitivity"":{""mean"":0.018316560431855037,""median"":0.012075632810592651,""percentile_2_5"":0.0,""percentile_97_5"":0.07321624532341957,""saliency_greater_than_matched_random_mean_rate"":0.0050041701417848205,""saliency_minus_matched_random_mean"":{""mean"":-0.2178164869779915,""median"":-0.21160997003316878,""percentile_2_5"":-0.5032927618175745,""percentile_97_5"":-0.017861572876572675,""sd"":0.12963202932411283},""sample_count"":2398,""sd"":0.019947751427795413},""valid_map_count"":2398}"
RES-P9-FAITHFULNESS-STANDARD_CBM-SUBTLETY,CAT-N,spatial_faithfulness_model_target,P9,standard_cbm,,subtlety,Matched-random spatial faithfulness,Does saliency occlusion differ from matched random occlusion?,PASS,RESULT_ALREADY_EXISTS,USED_MAIN_TEXT,ART-P9-SPATIAL,repo://,artifacts/baseline_v2/audit/p9/spatial.json,models.standard_cbm.pooled_targets.subtlety,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf,2576,PUBLIC_DEIDENTIFIED,False,SEC-RESULTS-WHERE,"[""RPT-T14""]","[""RPT-F08""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""error_increase"":{""mean"":0.018729096911360717,""median"":0.001070559024810791,""percentile_2_5"":-0.3245164528489113,""percentile_97_5"":0.39880114048719406,""saliency_greater_than_matched_random_mean_rate"":0.1486801242236025,""saliency_minus_matched_random_mean"":{""mean"":-1.400171656101218,""median"":-1.3780183494091034,""percentile_2_5"":-4.422713819146156,""percentile_97_5"":0.7216009760275484,""sd"":1.3387626619783421},""sample_count"":2576,""sd"":0.17131365076225766},""interpretation"":{""error_increase"":""positive means prediction error worsened"",""output_sensitivity"":""absolute output movement only""},""matched_random_values_per_valid_map"":20,""output_sensitivity"":{""mean"":0.12911453054204108,""median"":0.07694768905639648,""percentile_2_5"":0.0,""percentile_97_5"":0.5515718273818493,""saliency_greater_than_matched_random_mean_rate"":0.01203416149068323,""saliency_minus_matched_random_mean"":{""mean"":-1.6658192081975616,""median"":-1.5351816564798355,""percentile_2_5"":-4.4540185034275055,""percentile_97_5"":-0.0766324139200151,""sd"":1.168119115524393},""sample_count"":2576,""sd"":0.15275925438520618},""valid_map_count"":2576}"
RES-P9-FAITHFULNESS-STANDARD_CBM-INTERNALSTRUCTURE,CAT-N,spatial_faithfulness_model_target,P9,standard_cbm,,internalStructure,Matched-random spatial faithfulness,Does saliency occlusion differ from matched random occlusion?,PASS,RESULT_ALREADY_EXISTS,USED_MAIN_TEXT,ART-P9-SPATIAL,repo://,artifacts/baseline_v2/audit/p9/spatial.json,models.standard_cbm.pooled_targets.internalStructure,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf,2506,PUBLIC_DEIDENTIFIED,False,SEC-RESULTS-WHERE,"[""RPT-T14""]","[""RPT-F08""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""error_increase"":{""mean"":-0.06377806324817996,""median"":-0.05110597610473633,""percentile_2_5"":-0.4624565839767456,""percentile_97_5"":0.3451061546802521,""saliency_greater_than_matched_random_mean_rate"":0.7549880287310455,""saliency_minus_matched_random_mean"":{""mean"":0.5755097930788614,""median"":0.7106154620647431,""percentile_2_5"":-2.013873800635338,""percentile_97_5"":2.4382303066551687,""sd"":1.2773861489937028},""sample_count"":2506,""sd"":0.19022399908637358},""interpretation"":{""error_increase"":""positive means prediction error worsened"",""output_sensitivity"":""absolute output movement only""},""matched_random_values_per_valid_map"":20,""output_sensitivity"":{""mean"":0.14547614107489681,""median"":0.10557210445404053,""percentile_2_5"":0.0,""percentile_97_5"":0.4995744824409485,""saliency_greater_than_matched_random_mean_rate"":0.05985634477254589,""saliency_minus_matched_random_mean"":{""mean"":-0.9901347980878399,""median"":-0.8625832200050354,""percentile_2_5"":-2.727851669490337,""percentile_97_5"":0.11532535552978515,""sd"":0.9322735013432751},""sample_count"":2506,""sd"":0.1381647695979631},""valid_map_count"":2506}"
RES-P9-FAITHFULNESS-STANDARD_CBM-CALCIFICATION,CAT-N,spatial_faithfulness_model_target,P9,standard_cbm,,calcification,Matched-random spatial faithfulness,Does saliency occlusion differ from matched random occlusion?,PASS,RESULT_ALREADY_EXISTS,USED_MAIN_TEXT,ART-P9-SPATIAL,repo://,artifacts/baseline_v2/audit/p9/spatial.json,models.standard_cbm.pooled_targets.calcification,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf,1938,PUBLIC_DEIDENTIFIED,False,SEC-RESULTS-WHERE,"[""RPT-T14""]","[""RPT-F08""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""error_increase"":{""mean"":0.05747169160483053,""median"":0.017374277114868164,""percentile_2_5"":-0.38997391164302825,""percentile_97_5"":0.7184674859046941,""saliency_greater_than_matched_random_mean_rate"":0.7920536635706914,""saliency_minus_matched_random_mean"":{""mean"":0.5892568154064508,""median"":0.5269867479801178,""percentile_2_5"":-1.8751039455085992,""percentile_97_5"":2.7790738293528565,""sd"":1.0708422013438117},""sample_count"":1938,""sd"":0.2669900338554057},""interpretation"":{""error_increase"":""positive means prediction error worsened"",""output_sensitivity"":""absolute output movement only""},""matched_random_values_per_valid_map"":20,""output_sensitivity"":{""mean"":0.1580328139811908,""median"":0.0841822624206543,""percentile_2_5"":0.0,""percentile_97_5"":0.8002630591392524,""saliency_greater_than_matched_random_mean_rate"":0.08823529411764706,""saliency_minus_matched_random_mean"":{""mean"":-0.9778661081932571,""median"":-0.666286039352417,""percentile_2_5"":-3.5386667253449557,""percentile_97_5"":0.21131126731634173,""sd"":1.002414764644823},""sample_count"":1938,""sd"":0.2241081564800619},""valid_map_count"":1938}"
RES-P9-FAITHFULNESS-STANDARD_CBM-SPHERICITY,CAT-N,spatial_faithfulness_model_target,P9,standard_cbm,,sphericity,Matched-random spatial faithfulness,Does saliency occlusion differ from matched random occlusion?,PASS,RESULT_ALREADY_EXISTS,USED_MAIN_TEXT,ART-P9-SPATIAL,repo://,artifacts/baseline_v2/audit/p9/spatial.json,models.standard_cbm.pooled_targets.sphericity,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf,2631,PUBLIC_DEIDENTIFIED,False,SEC-RESULTS-WHERE,"[""RPT-T14""]","[""RPT-F08""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""error_increase"":{""mean"":-0.06848545827398196,""median"":-0.023468539118766785,""percentile_2_5"":-0.41003547608852386,""percentile_97_5"":0.15718718618154526,""saliency_greater_than_matched_random_mean_rate"":0.38008361839604715,""saliency_minus_matched_random_mean"":{""mean"":-0.13261253245738422,""median"":-0.09992913007736207,""percentile_2_5"":-0.9931036127032712,""percentile_97_5"":0.7254929363727569,""sd"":0.4432280469693261},""sample_count"":2631,""sd"":0.14123336984893936},""interpretation"":{""error_increase"":""positive means prediction error worsened"",""output_sensitivity"":""absolute output movement only""},""matched_random_values_per_valid_map"":20,""output_sensitivity"":{""mean"":0.11421964131437273,""median"":0.07277750968933105,""percentile_2_5"":0.0,""percentile_97_5"":0.4138069152832031,""saliency_greater_than_matched_random_mean_rate"":0.05283162295705055,""saliency_minus_matched_random_mean"":{""mean"":-0.5059279749076495,""median"":-0.4211344212293625,""percentile_2_5"":-1.3960363347083329,""percentile_97_5"":0.04643806293606758,""sd"":0.4122503168858936},""sample_count"":2631,""sd"":0.11972465101425532},""valid_map_count"":2631}"
RES-P9-FAITHFULNESS-STANDARD_CBM-MARGIN,CAT-N,spatial_faithfulness_model_target,P9,standard_cbm,,margin,Matched-random spatial faithfulness,Does saliency occlusion differ from matched random occlusion?,PASS,RESULT_ALREADY_EXISTS,USED_MAIN_TEXT,ART-P9-SPATIAL,repo://,artifacts/baseline_v2/audit/p9/spatial.json,models.standard_cbm.pooled_targets.margin,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf,2623,PUBLIC_DEIDENTIFIED,False,SEC-RESULTS-WHERE,"[""RPT-T14""]","[""RPT-F08""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""error_increase"":{""mean"":-0.08463468127866809,""median"":-0.051030755043029785,""percentile_2_5"":-0.5973405301570892,""percentile_97_5"":0.3519101522862902,""saliency_greater_than_matched_random_mean_rate"":0.34731223789553944,""saliency_minus_matched_random_mean"":{""mean"":-0.3202064394264436,""median"":-0.2963458761572838,""percentile_2_5"":-1.990659110546112,""percentile_97_5"":1.3814994031190866,""sd"":0.8856748762052947},""sample_count"":2623,""sd"":0.21996095860451742},""interpretation"":{""error_increase"":""positive means prediction error worsened"",""output_sensitivity"":""absolute output movement only""},""matched_random_values_per_valid_map"":20,""output_sensitivity"":{""mean"":0.17677769056488335,""median"":0.12598073482513428,""percentile_2_5"":0.0,""percentile_97_5"":0.640412566065788,""saliency_greater_than_matched_random_mean_rate"":0.025543271063667557,""saliency_minus_matched_random_mean"":{""mean"":-1.0239943905154323,""median"":-0.9855015695095062,""percentile_2_5"":-2.298730755387805,""percentile_97_5"":0.0006009367527438123,""sd"":0.6765955024844853},""sample_count"":2623,""sd"":0.17320473122522942},""valid_map_count"":2623}"
RES-P9-FAITHFULNESS-STANDARD_CBM-LOBULATION,CAT-N,spatial_faithfulness_model_target,P9,standard_cbm,,lobulation,Matched-random spatial faithfulness,Does saliency occlusion differ from matched random occlusion?,PASS,RESULT_ALREADY_EXISTS,USED_MAIN_TEXT,ART-P9-SPATIAL,repo://,artifacts/baseline_v2/audit/p9/spatial.json,models.standard_cbm.pooled_targets.lobulation,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf,2545,PUBLIC_DEIDENTIFIED,False,SEC-RESULTS-WHERE,"[""RPT-T14""]","[""RPT-F08""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""error_increase"":{""mean"":-0.1810522056343894,""median"":-0.1271352767944336,""percentile_2_5"":-0.6726408958435058,""percentile_97_5"":0.06321221739053733,""saliency_greater_than_matched_random_mean_rate"":0.9795677799607073,""saliency_minus_matched_random_mean"":{""mean"":1.1908254524676913,""median"":1.1965898517519236,""percentile_2_5"":0.032914773523807526,""percentile_97_5"":2.3970939037203793,""sd"":0.6608451136402035},""sample_count"":2545,""sd"":0.20122607563827452},""interpretation"":{""error_increase"":""positive means prediction error worsened"",""output_sensitivity"":""absolute output movement only""},""matched_random_values_per_valid_map"":20,""output_sensitivity"":{""mean"":0.19053272025107107,""median"":0.13085603713989258,""percentile_2_5"":0.0,""percentile_97_5"":0.6726408958435062,""saliency_greater_than_matched_random_mean_rate"":0.006286836935166994,""saliency_minus_matched_random_mean"":{""mean"":-1.2619240040269502,""median"":-1.227100920677185,""percentile_2_5"":-2.8923701675981284,""percentile_97_5"":-0.07038526058197017,""sd"":0.7344019358231626},""sample_count"":2545,""sd"":0.19227518475457897},""valid_map_count"":2545}"
RES-P9-FAITHFULNESS-STANDARD_CBM-SPICULATION,CAT-N,spatial_faithfulness_model_target,P9,standard_cbm,,spiculation,Matched-random spatial faithfulness,Does saliency occlusion differ from matched random occlusion?,PASS,RESULT_ALREADY_EXISTS,USED_MAIN_TEXT,ART-P9-SPATIAL,repo://,artifacts/baseline_v2/audit/p9/spatial.json,models.standard_cbm.pooled_targets.spiculation,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf,2576,PUBLIC_DEIDENTIFIED,False,SEC-RESULTS-WHERE,"[""RPT-T14""]","[""RPT-F08""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""error_increase"":{""mean"":-0.19698200196404478,""median"":-0.13238465785980225,""percentile_2_5"":-0.7430645227432251,""percentile_97_5"":0.06966174393892288,""saliency_greater_than_matched_random_mean_rate"":0.9666149068322981,""saliency_minus_matched_random_mean"":{""mean"":1.4934048423863961,""median"":1.5497021183371544,""percentile_2_5"":-0.11782990051433444,""percentile_97_5"":2.903022078797221,""sd"":0.7580355371592177},""sample_count"":2576,""sd"":0.21359756248606473},""interpretation"":{""error_increase"":""positive means prediction error worsened"",""output_sensitivity"":""absolute output movement only""},""matched_random_values_per_valid_map"":20,""output_sensitivity"":{""mean"":0.20704273602463194,""median"":0.13696134090423584,""percentile_2_5"":0.0010686218738555908,""percentile_97_5"":0.7430645227432251,""saliency_greater_than_matched_random_mean_rate"":0.0015527950310559005,""saliency_minus_matched_random_mean"":{""mean"":-1.9303530060471308,""median"":-1.9228863002732397,""percentile_2_5"":-3.675401103921468,""percentile_97_5"":-0.3513911744579673,""sd"":0.8876548847828064},""sample_count"":2576,""sd"":0.20408645517364948},""valid_map_count"":2576}"
