catalogue_item_id,category,entity_type,phase,model,fold,concept_or_target,result_name,scientific_question,scientific_status,availability_status,report_usage_status,source_artifact_id,source_root_alias,source_relative_path,source_field_path,source_sha256,row_or_sample_count,privacy_class,new_inference_required,report_section_id,report_table_ids,report_figure_ids,omission_reason,approval_reference,integrity_status,details
RES-P9-CONCEPT-STANDARD_CBM-SUBTLETY,CAT-G,continuous_concept_result,P9,standard_cbm,,subtlety,Pooled continuous concept fidelity,How faithfully is this reader concept predicted?,PASS,RESULT_ALREADY_EXISTS,USED_MAIN_TEXT,ART-P9-CONCEPT,repo://,artifacts/baseline_v2/audit/p9/concept.json,standard_cbm.pooled.subtlety,f0c2ee330998b4ee8b635517093ad3f08928bc7761c6e794abd9b3a25999139a,2633,PUBLIC_DEIDENTIFIED,False,SEC-RESULTS-WHAT,"[""RPT-T11""]","[""RPT-F09A""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""mae"":0.1690233659538261,""pearson"":0.5672985649624334,""rmse"":0.22331885771409843,""sample_count"":2633,""spearman"":0.573287899767748}"
RES-P9-CONCEPT-STANDARD_CBM-SPHERICITY,CAT-G,continuous_concept_result,P9,standard_cbm,,sphericity,Pooled continuous concept fidelity,How faithfully is this reader concept predicted?,PASS,RESULT_ALREADY_EXISTS,USED_MAIN_TEXT,ART-P9-CONCEPT,repo://,artifacts/baseline_v2/audit/p9/concept.json,standard_cbm.pooled.sphericity,f0c2ee330998b4ee8b635517093ad3f08928bc7761c6e794abd9b3a25999139a,2633,PUBLIC_DEIDENTIFIED,False,SEC-RESULTS-WHAT,"[""RPT-T11""]","[""RPT-F09A""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""mae"":0.13860692945759964,""pearson"":0.4365605428622793,""rmse"":0.1767199221180028,""sample_count"":2633,""spearman"":0.4527853599487308}"
RES-P9-CONCEPT-STANDARD_CBM-MARGIN,CAT-G,continuous_concept_result,P9,standard_cbm,,margin,Pooled continuous concept fidelity,How faithfully is this reader concept predicted?,PASS,RESULT_ALREADY_EXISTS,USED_MAIN_TEXT,ART-P9-CONCEPT,repo://,artifacts/baseline_v2/audit/p9/concept.json,standard_cbm.pooled.margin,f0c2ee330998b4ee8b635517093ad3f08928bc7761c6e794abd9b3a25999139a,2633,PUBLIC_DEIDENTIFIED,False,SEC-RESULTS-WHAT,"[""RPT-T11""]","[""RPT-F09A""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""mae"":0.14564441400930872,""pearson"":0.6868109448648791,""rmse"":0.19718683847744717,""sample_count"":2633,""spearman"":0.6473195989967335}"
RES-P9-CONCEPT-STANDARD_CBM-LOBULATION,CAT-G,continuous_concept_result,P9,standard_cbm,,lobulation,Pooled continuous concept fidelity,How faithfully is this reader concept predicted?,PASS,RESULT_ALREADY_EXISTS,USED_MAIN_TEXT,ART-P9-CONCEPT,repo://,artifacts/baseline_v2/audit/p9/concept.json,standard_cbm.pooled.lobulation,f0c2ee330998b4ee8b635517093ad3f08928bc7761c6e794abd9b3a25999139a,2633,PUBLIC_DEIDENTIFIED,False,SEC-RESULTS-WHAT,"[""RPT-T11""]","[""RPT-F09A""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""mae"":0.13103477681235587,""pearson"":0.45971928212947866,""rmse"":0.1857403492125993,""sample_count"":2633,""spearman"":0.4558621559209562}"
RES-P9-CONCEPT-STANDARD_CBM-SPICULATION,CAT-G,continuous_concept_result,P9,standard_cbm,,spiculation,Pooled continuous concept fidelity,How faithfully is this reader concept predicted?,PASS,RESULT_ALREADY_EXISTS,USED_MAIN_TEXT,ART-P9-CONCEPT,repo://,artifacts/baseline_v2/audit/p9/concept.json,standard_cbm.pooled.spiculation,f0c2ee330998b4ee8b635517093ad3f08928bc7761c6e794abd9b3a25999139a,2633,PUBLIC_DEIDENTIFIED,False,SEC-RESULTS-WHAT,"[""RPT-T11""]","[""RPT-F09A""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""mae"":0.12106153670595121,""pearson"":0.5069319629539584,""rmse"":0.18155099910029054,""sample_count"":2633,""spearman"":0.41637155235919837}"
RES-P9-CONCEPT-STANDARD_CBM-TEXTURE,CAT-G,continuous_concept_result,P9,standard_cbm,,texture,Pooled continuous concept fidelity,How faithfully is this reader concept predicted?,PASS,RESULT_ALREADY_EXISTS,USED_MAIN_TEXT,ART-P9-CONCEPT,repo://,artifacts/baseline_v2/audit/p9/concept.json,standard_cbm.pooled.texture,f0c2ee330998b4ee8b635517093ad3f08928bc7761c6e794abd9b3a25999139a,2633,PUBLIC_DEIDENTIFIED,False,SEC-RESULTS-WHAT,"[""RPT-T11""]","[""RPT-F09A""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""mae"":0.11613561242964089,""pearson"":0.7828419861902218,""rmse"":0.18018585304190687,""sample_count"":2633,""spearman"":0.5806171932906538}"
RES-P9-CONCEPT-MIXED_CEM-SUBTLETY,CAT-G,continuous_concept_result,P9,mixed_cem,,subtlety,Pooled continuous concept fidelity,How faithfully is this reader concept predicted?,PASS,RESULT_ALREADY_EXISTS,USED_MAIN_TEXT,ART-P9-CONCEPT,repo://,artifacts/baseline_v2/audit/p9/concept.json,mixed_cem.pooled.subtlety,f0c2ee330998b4ee8b635517093ad3f08928bc7761c6e794abd9b3a25999139a,2633,PUBLIC_DEIDENTIFIED,False,SEC-RESULTS-WHAT,"[""RPT-T11""]","[""RPT-F09A""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""mae"":0.20379009853342483,""pearson"":0.44451508611039947,""rmse"":0.25023689621015377,""sample_count"":2633,""spearman"":0.44907956408386884}"
RES-P9-CONCEPT-MIXED_CEM-SPHERICITY,CAT-G,continuous_concept_result,P9,mixed_cem,,sphericity,Pooled continuous concept fidelity,How faithfully is this reader concept predicted?,PASS,RESULT_ALREADY_EXISTS,USED_MAIN_TEXT,ART-P9-CONCEPT,repo://,artifacts/baseline_v2/audit/p9/concept.json,mixed_cem.pooled.sphericity,f0c2ee330998b4ee8b635517093ad3f08928bc7761c6e794abd9b3a25999139a,2633,PUBLIC_DEIDENTIFIED,False,SEC-RESULTS-WHAT,"[""RPT-T11""]","[""RPT-F09A""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""mae"":0.17799110976046045,""pearson"":0.05612882021409644,""rmse"":0.21707861119555993,""sample_count"":2633,""spearman"":0.05139042541459757}"
RES-P9-CONCEPT-MIXED_CEM-MARGIN,CAT-G,continuous_concept_result,P9,mixed_cem,,margin,Pooled continuous concept fidelity,How faithfully is this reader concept predicted?,PASS,RESULT_ALREADY_EXISTS,USED_MAIN_TEXT,ART-P9-CONCEPT,repo://,artifacts/baseline_v2/audit/p9/concept.json,mixed_cem.pooled.margin,f0c2ee330998b4ee8b635517093ad3f08928bc7761c6e794abd9b3a25999139a,2633,PUBLIC_DEIDENTIFIED,False,SEC-RESULTS-WHAT,"[""RPT-T11""]","[""RPT-F09A""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""mae"":0.24631800153920552,""pearson"":0.1879508769641104,""rmse"":0.29209313291999894,""sample_count"":2633,""spearman"":0.17089772099824163}"
RES-P9-CONCEPT-MIXED_CEM-LOBULATION,CAT-G,continuous_concept_result,P9,mixed_cem,,lobulation,Pooled continuous concept fidelity,How faithfully is this reader concept predicted?,PASS,RESULT_ALREADY_EXISTS,USED_MAIN_TEXT,ART-P9-CONCEPT,repo://,artifacts/baseline_v2/audit/p9/concept.json,mixed_cem.pooled.lobulation,f0c2ee330998b4ee8b635517093ad3f08928bc7761c6e794abd9b3a25999139a,2633,PUBLIC_DEIDENTIFIED,False,SEC-RESULTS-WHAT,"[""RPT-T11""]","[""RPT-F09A""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""mae"":0.18286606245255044,""pearson"":0.27014362221062044,""rmse"":0.21752332081662135,""sample_count"":2633,""spearman"":0.24882408658693328}"
