catalogue_item_id,category,entity_type,phase,model,fold,concept_or_target,result_name,scientific_question,scientific_status,availability_status,report_usage_status,source_artifact_id,source_root_alias,source_relative_path,source_field_path,source_sha256,row_or_sample_count,privacy_class,new_inference_required,report_section_id,report_table_ids,report_figure_ids,omission_reason,approval_reference,integrity_status,details
ART-STORAGE-GROUP-BLACKBOX,CAT-R,storage_group,P5,,,,P5 Black-box,Where is this complete frozen result family stored?,PASS,RESULT_ALREADY_EXISTS,AUDIT_ONLY,ART-ARCHIVE-GROUP-BLACKBOX,mac-archive://,blackbox,$,9817b551ff6db59ae363226969674866ed7e4903df3da4bf08dc8564867e0a27,63,PRIVATE_RESTRICTED,False,SEC-PUBLIC-REPRODUCIBILITY,[],[],,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""file_count"":63,""human_master_include"":true,""total_bytes"":1360708569}"
ART-STORAGE-GROUP-STANDARD_CBM,CAT-R,storage_group,P6,,,,P6 Standard CBM,Where is this complete frozen result family stored?,PASS,RESULT_ALREADY_EXISTS,AUDIT_ONLY,ART-ARCHIVE-GROUP-STANDARD_CBM,mac-archive://,standard_cbm,$,5fc719269233795719dd50b33ea0cda03a62226d9b660b7add9e0992ffde59f9,98,PRIVATE_RESTRICTED,False,SEC-PUBLIC-REPRODUCIBILITY,[],[],,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""file_count"":98,""human_master_include"":true,""total_bytes"":1377899630}"
ART-STORAGE-GROUP-CEM,CAT-R,storage_group,P7,,,,P7 Mixed-type CEM,Where is this complete frozen result family stored?,PASS,RESULT_ALREADY_EXISTS,AUDIT_ONLY,ART-ARCHIVE-GROUP-CEM,mac-archive://,cem,$,8d0533ef0b357982575f48639684bd0336224d77a19048420dee5eab0aea6204,56,PRIVATE_RESTRICTED,False,SEC-PUBLIC-REPRODUCIBILITY,[],[],,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""file_count"":56,""human_master_include"":true,""total_bytes"":1447984356}"
ART-STORAGE-GROUP-GAM,CAT-R,storage_group,P8,,,,P8 Learned-softmax GAM,Where is this complete frozen result family stored?,PASS,RESULT_ALREADY_EXISTS,AUDIT_ONLY,ART-ARCHIVE-GROUP-GAM,mac-archive://,gam,$,b5fc01fcffd5d0569138dbdde0fe72edd29b2e46252665d0a907371ab17ffb62,55,PRIVATE_RESTRICTED,False,SEC-PUBLIC-REPRODUCIBILITY,[],[],,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""file_count"":55,""human_master_include"":true,""total_bytes"":1378515989}"
ART-STORAGE-GROUP-P9,CAT-R,storage_group,P9,,,,P9 unified evaluation and spatial evidence,Where is this complete frozen result family stored?,PASS,RESULT_ALREADY_EXISTS,AUDIT_ONLY,ART-ARCHIVE-GROUP-P9,mac-archive://,p9,$,3880fc8689496b642abe31866361c30caae254d8bd74cb000263bd44b3d18ca9,1426,PRIVATE_RESTRICTED,False,SEC-PUBLIC-REPRODUCIBILITY,[],[],,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""file_count"":1426,""human_master_include"":true,""total_bytes"":8821543077}"
ART-STORAGE-ARCHIVE-0001,CAT-R,archived_file,P5,,,,Archived file: .p5_lifecycle.lock,Where is this verified private file stored?,PASS,RESULT_ALREADY_EXISTS,AUDIT_ONLY,ART-ARCHIVE-FILE-0001,mac-archive://,blackbox/fold_0/.p5_lifecycle.lock,$,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,PRIVATE_RESTRICTED,False,SEC-PUBLIC-REPRODUCIBILITY,[],[],,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""byte_size"":0,""human_master_include"":false}"
ART-STORAGE-ARCHIVE-0002,CAT-R,archived_file,P5,,,,Archived file: best.pt,Where is this verified private file stored?,PASS,RESULT_ALREADY_EXISTS,AUDIT_ONLY,ART-ARCHIVE-FILE-0002,mac-archive://,blackbox/fold_0/best.pt,$,e6db39216c3a0253dddee4761d8d99fc9f4550ba58c3414b8b6eaff6b25fb810,,PRIVATE_RESTRICTED,False,SEC-PUBLIC-REPRODUCIBILITY,[],[],,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""byte_size"":135882359,""human_master_include"":false}"
ART-STORAGE-ARCHIVE-0003,CAT-R,archived_file,P5,,,,Archived file: history.csv,Where is this verified private file stored?,PASS,RESULT_ALREADY_EXISTS,AUDIT_ONLY,ART-ARCHIVE-FILE-0003,mac-archive://,blackbox/fold_0/history.csv,$,787f3618b04e927e33e1a66c81207b90669f0c9a36051a3916ecc8adb3b6d6a9,,PRIVATE_RESTRICTED,False,SEC-PUBLIC-REPRODUCIBILITY,[],[],,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""byte_size"":16016,""human_master_include"":false}"
ART-STORAGE-ARCHIVE-0004,CAT-R,archived_file,P5,,,,Archived file: last.pt,Where is this verified private file stored?,PASS,RESULT_ALREADY_EXISTS,AUDIT_ONLY,ART-ARCHIVE-FILE-0004,mac-archive://,blackbox/fold_0/last.pt,$,b10d5b7124fac4800eaf56a4ec78250b0dc2104b9471efcf6afa3874433db14a,,PRIVATE_RESTRICTED,False,SEC-PUBLIC-REPRODUCIBILITY,[],[],,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""byte_size"":135898039,""human_master_include"":false}"
ART-STORAGE-ARCHIVE-0005,CAT-R,archived_file,P5,,,,Archived file: metrics.json,Where is this verified private file stored?,PASS,RESULT_ALREADY_EXISTS,AUDIT_ONLY,ART-ARCHIVE-FILE-0005,mac-archive://,blackbox/fold_0/metrics.json,$,7b8a91342f939e0c26a202136e08fceddddbd2c39a23033af937fe8f8427ff70,,PRIVATE_RESTRICTED,False,SEC-PUBLIC-REPRODUCIBILITY,[],[],,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""byte_size"":549,""human_master_include"":false}"
