catalogue_item_id,category,entity_type,phase,model,fold,concept_or_target,result_name,scientific_question,scientific_status,availability_status,report_usage_status,source_artifact_id,source_root_alias,source_relative_path,source_field_path,source_sha256,row_or_sample_count,privacy_class,new_inference_required,report_section_id,report_table_ids,report_figure_ids,omission_reason,approval_reference,integrity_status,details
RES-P10-REPORT-EVIDENCE-01,CAT-S,report_evidence_map,P10,,,,Dataset and preprocessing,Which registered evidence must this report section consume?,PASS,RESULT_ALREADY_EXISTS,USED_MAIN_TEXT,ART-P10-REPORT-PLAN,repo://,docs/results/P10_CATALOGUE_DRIVEN_BILINGUAL_REPORT_PLAN.md,SEC-DATASET,be33c07d566914d40bd50fba65b347118e706940a64495782cf0245f7914629c,,PUBLIC_DEIDENTIFIED,False,SEC-DATASET,"[""RPT-T02"",""RPT-T03""]","[""RPT-F02""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""catalogue_driven_required"":true,""required_figure_ids"":[""RPT-F02""],""required_result_or_category_ids"":[""RES-P0-PHASE-OVERVIEW"",""RES-P2-PHASE-OVERVIEW"",""RES-P3-PHASE-OVERVIEW"",""RES-P4-PHASE-OVERVIEW""],""required_table_ids"":[""RPT-T02"",""RPT-T03""]}"
RES-P10-REPORT-EVIDENCE-02,CAT-S,report_evidence_map,P10,,,,Model design,Which registered evidence must this report section consume?,PASS,RESULT_ALREADY_EXISTS,USED_MAIN_TEXT,ART-P10-REPORT-PLAN,repo://,docs/results/P10_CATALOGUE_DRIVEN_BILINGUAL_REPORT_PLAN.md,SEC-METHODS,be33c07d566914d40bd50fba65b347118e706940a64495782cf0245f7914629c,,PUBLIC_DEIDENTIFIED,False,SEC-METHODS,"[""RPT-T04""]","[""RPT-F03""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""catalogue_driven_required"":true,""required_figure_ids"":[""RPT-F03""],""required_result_or_category_ids"":[""RES-P5-PHASE-OVERVIEW"",""RES-P6-PHASE-OVERVIEW"",""RES-P7-PHASE-OVERVIEW"",""RES-P8-PHASE-OVERVIEW""],""required_table_ids"":[""RPT-T04""]}"
RES-P10-REPORT-EVIDENCE-03,CAT-S,report_evidence_map,P10,,,,Prediction,Which registered evidence must this report section consume?,PASS,RESULT_ALREADY_EXISTS,USED_MAIN_TEXT,ART-P10-REPORT-PLAN,repo://,docs/results/P10_CATALOGUE_DRIVEN_BILINGUAL_REPORT_PLAN.md,SEC-RESULTS-PREDICTION,be33c07d566914d40bd50fba65b347118e706940a64495782cf0245f7914629c,,PUBLIC_DEIDENTIFIED,False,SEC-RESULTS-PREDICTION,"[""RPT-T07"",""RPT-T08"",""RPT-T09"",""RPT-T10""]","[""RPT-F04"",""RPT-F05"",""RPT-F06""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""catalogue_driven_required"":true,""required_figure_ids"":[""RPT-F04"",""RPT-F05"",""RPT-F06""],""required_result_or_category_ids"":[""CAT-C"",""CAT-D"",""CAT-E"",""CAT-F""],""required_table_ids"":[""RPT-T07"",""RPT-T08"",""RPT-T09"",""RPT-T10""]}"
RES-P10-REPORT-EVIDENCE-04,CAT-S,report_evidence_map,P10,,,,WHERE,Which registered evidence must this report section consume?,PASS,RESULT_ALREADY_EXISTS,USED_MAIN_TEXT,ART-P10-REPORT-PLAN,repo://,docs/results/P10_CATALOGUE_DRIVEN_BILINGUAL_REPORT_PLAN.md,SEC-RESULTS-WHERE,be33c07d566914d40bd50fba65b347118e706940a64495782cf0245f7914629c,,PUBLIC_DEIDENTIFIED,False,SEC-RESULTS-WHERE,"[""RPT-T13"",""RPT-T14""]","[""RPT-F07"",""RPT-F08""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""catalogue_driven_required"":true,""required_figure_ids"":[""RPT-F07"",""RPT-F08""],""required_result_or_category_ids"":[""CAT-L"",""CAT-M"",""CAT-N""],""required_table_ids"":[""RPT-T13"",""RPT-T14""]}"
RES-P10-REPORT-EVIDENCE-05,CAT-S,report_evidence_map,P10,,,,WHAT,Which registered evidence must this report section consume?,PASS,RESULT_ALREADY_EXISTS,USED_MAIN_TEXT,ART-P10-REPORT-PLAN,repo://,docs/results/P10_CATALOGUE_DRIVEN_BILINGUAL_REPORT_PLAN.md,SEC-RESULTS-WHAT,be33c07d566914d40bd50fba65b347118e706940a64495782cf0245f7914629c,,PUBLIC_DEIDENTIFIED,False,SEC-RESULTS-WHAT,"[""RPT-T11"",""RPT-T12""]","[""RPT-F09A"",""RPT-F09B""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""catalogue_driven_required"":true,""required_figure_ids"":[""RPT-F09A"",""RPT-F09B""],""required_result_or_category_ids"":[""CAT-G"",""CAT-H""],""required_table_ids"":[""RPT-T11"",""RPT-T12""]}"
RES-P10-REPORT-EVIDENCE-06,CAT-S,report_evidence_map,P10,,,,WHY,Which registered evidence must this report section consume?,PASS,RESULT_ALREADY_EXISTS,USED_MAIN_TEXT,ART-P10-REPORT-PLAN,repo://,docs/results/P10_CATALOGUE_DRIVEN_BILINGUAL_REPORT_PLAN.md,SEC-RESULTS-WHY,be33c07d566914d40bd50fba65b347118e706940a64495782cf0245f7914629c,,PUBLIC_DEIDENTIFIED,False,SEC-RESULTS-WHY,"[""RPT-T15"",""RPT-T16""]","[""RPT-F10"",""RPT-F11""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""catalogue_driven_required"":true,""required_figure_ids"":[""RPT-F10"",""RPT-F11""],""required_result_or_category_ids"":[""CAT-J"",""CAT-K""],""required_table_ids"":[""RPT-T15"",""RPT-T16""]}"
RES-P10-REPORT-EVIDENCE-07,CAT-S,report_evidence_map,P10,,,,HOW,Which registered evidence must this report section consume?,PASS,RESULT_ALREADY_EXISTS,USED_MAIN_TEXT,ART-P10-REPORT-PLAN,repo://,docs/results/P10_CATALOGUE_DRIVEN_BILINGUAL_REPORT_PLAN.md,SEC-RESULTS-HOW,be33c07d566914d40bd50fba65b347118e706940a64495782cf0245f7914629c,,PUBLIC_DEIDENTIFIED,False,SEC-RESULTS-HOW,"[""RPT-T17""]","[""RPT-F12""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""catalogue_driven_required"":true,""required_figure_ids"":[""RPT-F12""],""required_result_or_category_ids"":[""CAT-I""],""required_table_ids"":[""RPT-T17""]}"
RES-P10-REPORT-EVIDENCE-08,CAT-S,report_evidence_map,P10,,,,Integrated interpretation,Which registered evidence must this report section consume?,PASS,RESULT_ALREADY_EXISTS,USED_MAIN_TEXT,ART-P10-REPORT-PLAN,repo://,docs/results/P10_CATALOGUE_DRIVEN_BILINGUAL_REPORT_PLAN.md,SEC-RESULTS-SYNTHESIS,be33c07d566914d40bd50fba65b347118e706940a64495782cf0245f7914629c,,PUBLIC_DEIDENTIFIED,False,SEC-RESULTS-SYNTHESIS,"[""RPT-T18""]","[""RPT-F13""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""catalogue_driven_required"":true,""required_figure_ids"":[""RPT-F13""],""required_result_or_category_ids"":[""CAT-C"",""CAT-L"",""CAT-G"",""CAT-J"",""CAT-I""],""required_table_ids"":[""RPT-T18""]}"
RES-P10-REPORT-EVIDENCE-09,CAT-S,report_evidence_map,P10,,,,Discussion,Which registered evidence must this report section consume?,PASS,RESULT_ALREADY_EXISTS,USED_MAIN_TEXT,ART-P10-REPORT-PLAN,repo://,docs/results/P10_CATALOGUE_DRIVEN_BILINGUAL_REPORT_PLAN.md,SEC-DISCUSSION,be33c07d566914d40bd50fba65b347118e706940a64495782cf0245f7914629c,,PUBLIC_DEIDENTIFIED,False,SEC-DISCUSSION,[],[],,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""catalogue_driven_required"":true,""required_figure_ids"":[],""required_result_or_category_ids"":[""CAT-C"",""CAT-D"",""CAT-E"",""CAT-F"",""CAT-M"",""CAT-I""],""required_table_ids"":[]}"
RES-P10-REPORT-EVIDENCE-10,CAT-S,report_evidence_map,P10,,,,Limitations,Which registered evidence must this report section consume?,PASS,RESULT_ALREADY_EXISTS,USED_MAIN_TEXT,ART-P10-REPORT-PLAN,repo://,docs/results/P10_CATALOGUE_DRIVEN_BILINGUAL_REPORT_PLAN.md,SEC-LIMITATIONS,be33c07d566914d40bd50fba65b347118e706940a64495782cf0245f7914629c,,PUBLIC_DEIDENTIFIED,False,SEC-LIMITATIONS,[],"[""RPT-FA05""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""catalogue_driven_required"":true,""required_figure_ids"":[""RPT-FA05""],""required_result_or_category_ids"":[""CAT-M"",""CAT-T""],""required_table_ids"":[]}"
