catalogue_item_id,category,entity_type,phase,model,fold,concept_or_target,result_name,scientific_question,scientific_status,availability_status,report_usage_status,source_artifact_id,source_root_alias,source_relative_path,source_field_path,source_sha256,row_or_sample_count,privacy_class,new_inference_required,report_section_id,report_table_ids,report_figure_ids,omission_reason,approval_reference,integrity_status,details
RES-P9-UNDEFINED-RCA-BLACKBOX-MALIGNANCY,CAT-M,undefined_map_rca,P9,blackbox,,malignancy,Undefined Grad-CAM root-cause classification,"Is the all-zero map expected, systematic, numeric, or an implementation error?",PASS,RESULT_ALREADY_EXISTS,USED_MAIN_TEXT,ART-P9-SPATIAL,repo://,artifacts/baseline_v2/audit/p9/spatial.json,models.blackbox.pooled_targets.malignancy,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf,204,PUBLIC_DEIDENTIFIED,False,SEC-LIMITATIONS,"[""RPT-T13""]","[""RPT-F07"",""RPT-FA05""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""activation_norm"":""DATA_NOT_PERSISTED"",""channel_weight_norm"":""DATA_NOT_PERSISTED"",""confirmed_observation"":""post-ReLU Grad-CAM exactly all-zero"",""exact_mechanism"":""UNRESOLVED_FROM_FROZEN_ARTIFACTS"",""gradient_norm"":""DATA_NOT_PERSISTED"",""implementation_or_loading_error_evidence"":""NOT_OBSERVED"",""numeric_underflow_nan_inf_evidence"":""NOT_OBSERVED"",""pre_relu_cam_statistics"":""DATA_NOT_PERSISTED"",""requested_map_count"":2633,""root_cause_conclusion"":""SYSTEMATIC_MODEL/TARGET_ISSUE"",""undefined_map_count"":204,""undefined_rate"":0.07747816179263198}"
RES-P9-UNDEFINED-RCA-STANDARD_CBM-MALIGNANCY,CAT-M,undefined_map_rca,P9,standard_cbm,,malignancy,Undefined Grad-CAM root-cause classification,"Is the all-zero map expected, systematic, numeric, or an implementation error?",PASS,RESULT_ALREADY_EXISTS,USED_MAIN_TEXT,ART-P9-SPATIAL,repo://,artifacts/baseline_v2/audit/p9/spatial.json,models.standard_cbm.pooled_targets.malignancy,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf,235,PUBLIC_DEIDENTIFIED,False,SEC-LIMITATIONS,"[""RPT-T13""]","[""RPT-F07"",""RPT-FA05""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""activation_norm"":""DATA_NOT_PERSISTED"",""channel_weight_norm"":""DATA_NOT_PERSISTED"",""confirmed_observation"":""post-ReLU Grad-CAM exactly all-zero"",""exact_mechanism"":""UNRESOLVED_FROM_FROZEN_ARTIFACTS"",""gradient_norm"":""DATA_NOT_PERSISTED"",""implementation_or_loading_error_evidence"":""NOT_OBSERVED"",""numeric_underflow_nan_inf_evidence"":""NOT_OBSERVED"",""pre_relu_cam_statistics"":""DATA_NOT_PERSISTED"",""requested_map_count"":2633,""root_cause_conclusion"":""SYSTEMATIC_MODEL/TARGET_ISSUE"",""undefined_map_count"":235,""undefined_rate"":0.08925180402582605}"
RES-P9-UNDEFINED-RCA-STANDARD_CBM-SUBTLETY,CAT-M,undefined_map_rca,P9,standard_cbm,,subtlety,Undefined Grad-CAM root-cause classification,"Is the all-zero map expected, systematic, numeric, or an implementation error?",PASS,RESULT_ALREADY_EXISTS,USED_MAIN_TEXT,ART-P9-SPATIAL,repo://,artifacts/baseline_v2/audit/p9/spatial.json,models.standard_cbm.pooled_targets.subtlety,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf,57,PUBLIC_DEIDENTIFIED,False,SEC-LIMITATIONS,"[""RPT-T13""]","[""RPT-F07"",""RPT-FA05""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""activation_norm"":""DATA_NOT_PERSISTED"",""channel_weight_norm"":""DATA_NOT_PERSISTED"",""confirmed_observation"":""post-ReLU Grad-CAM exactly all-zero"",""exact_mechanism"":""UNRESOLVED_FROM_FROZEN_ARTIFACTS"",""gradient_norm"":""DATA_NOT_PERSISTED"",""implementation_or_loading_error_evidence"":""NOT_OBSERVED"",""numeric_underflow_nan_inf_evidence"":""NOT_OBSERVED"",""pre_relu_cam_statistics"":""DATA_NOT_PERSISTED"",""requested_map_count"":2633,""root_cause_conclusion"":""SYSTEMATIC_MODEL/TARGET_ISSUE"",""undefined_map_count"":57,""undefined_rate"":0.02164830991264717}"
RES-P9-UNDEFINED-RCA-STANDARD_CBM-INTERNALSTRUCTURE,CAT-M,undefined_map_rca,P9,standard_cbm,,internalStructure,Undefined Grad-CAM root-cause classification,"Is the all-zero map expected, systematic, numeric, or an implementation error?",PASS,RESULT_ALREADY_EXISTS,USED_MAIN_TEXT,ART-P9-SPATIAL,repo://,artifacts/baseline_v2/audit/p9/spatial.json,models.standard_cbm.pooled_targets.internalStructure,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf,127,PUBLIC_DEIDENTIFIED,False,SEC-LIMITATIONS,"[""RPT-T13""]","[""RPT-F07"",""RPT-FA05""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""activation_norm"":""DATA_NOT_PERSISTED"",""channel_weight_norm"":""DATA_NOT_PERSISTED"",""confirmed_observation"":""post-ReLU Grad-CAM exactly all-zero"",""exact_mechanism"":""UNRESOLVED_FROM_FROZEN_ARTIFACTS"",""gradient_norm"":""DATA_NOT_PERSISTED"",""implementation_or_loading_error_evidence"":""NOT_OBSERVED"",""numeric_underflow_nan_inf_evidence"":""NOT_OBSERVED"",""pre_relu_cam_statistics"":""DATA_NOT_PERSISTED"",""requested_map_count"":2633,""root_cause_conclusion"":""SYSTEMATIC_MODEL/TARGET_ISSUE"",""undefined_map_count"":127,""undefined_rate"":0.04823395366502089}"
RES-P9-UNDEFINED-RCA-STANDARD_CBM-CALCIFICATION,CAT-M,undefined_map_rca,P9,standard_cbm,,calcification,Undefined Grad-CAM root-cause classification,"Is the all-zero map expected, systematic, numeric, or an implementation error?",PASS,RESULT_ALREADY_EXISTS,USED_MAIN_TEXT,ART-P9-SPATIAL,repo://,artifacts/baseline_v2/audit/p9/spatial.json,models.standard_cbm.pooled_targets.calcification,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf,695,PUBLIC_DEIDENTIFIED,False,SEC-LIMITATIONS,"[""RPT-T13""]","[""RPT-F07"",""RPT-FA05""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""activation_norm"":""DATA_NOT_PERSISTED"",""channel_weight_norm"":""DATA_NOT_PERSISTED"",""confirmed_observation"":""post-ReLU Grad-CAM exactly all-zero"",""exact_mechanism"":""UNRESOLVED_FROM_FROZEN_ARTIFACTS"",""gradient_norm"":""DATA_NOT_PERSISTED"",""implementation_or_loading_error_evidence"":""NOT_OBSERVED"",""numeric_underflow_nan_inf_evidence"":""NOT_OBSERVED"",""pre_relu_cam_statistics"":""DATA_NOT_PERSISTED"",""requested_map_count"":2633,""root_cause_conclusion"":""SYSTEMATIC_MODEL/TARGET_ISSUE"",""undefined_map_count"":695,""undefined_rate"":0.2639574629699962}"
RES-P9-UNDEFINED-RCA-STANDARD_CBM-SPHERICITY,CAT-M,undefined_map_rca,P9,standard_cbm,,sphericity,Undefined Grad-CAM root-cause classification,"Is the all-zero map expected, systematic, numeric, or an implementation error?",PASS,RESULT_ALREADY_EXISTS,USED_MAIN_TEXT,ART-P9-SPATIAL,repo://,artifacts/baseline_v2/audit/p9/spatial.json,models.standard_cbm.pooled_targets.sphericity,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf,2,PUBLIC_DEIDENTIFIED,False,SEC-LIMITATIONS,"[""RPT-T13""]","[""RPT-F07"",""RPT-FA05""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""activation_norm"":""DATA_NOT_PERSISTED"",""channel_weight_norm"":""DATA_NOT_PERSISTED"",""confirmed_observation"":""post-ReLU Grad-CAM exactly all-zero"",""exact_mechanism"":""UNRESOLVED_FROM_FROZEN_ARTIFACTS"",""gradient_norm"":""DATA_NOT_PERSISTED"",""implementation_or_loading_error_evidence"":""NOT_OBSERVED"",""numeric_underflow_nan_inf_evidence"":""NOT_OBSERVED"",""pre_relu_cam_statistics"":""DATA_NOT_PERSISTED"",""requested_map_count"":2633,""root_cause_conclusion"":""SYSTEMATIC_MODEL/TARGET_ISSUE"",""undefined_map_count"":2,""undefined_rate"":0.0007595898214963919}"
RES-P9-UNDEFINED-RCA-STANDARD_CBM-MARGIN,CAT-M,undefined_map_rca,P9,standard_cbm,,margin,Undefined Grad-CAM root-cause classification,"Is the all-zero map expected, systematic, numeric, or an implementation error?",PASS,RESULT_ALREADY_EXISTS,USED_MAIN_TEXT,ART-P9-SPATIAL,repo://,artifacts/baseline_v2/audit/p9/spatial.json,models.standard_cbm.pooled_targets.margin,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf,10,PUBLIC_DEIDENTIFIED,False,SEC-LIMITATIONS,"[""RPT-T13""]","[""RPT-F07"",""RPT-FA05""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""activation_norm"":""DATA_NOT_PERSISTED"",""channel_weight_norm"":""DATA_NOT_PERSISTED"",""confirmed_observation"":""post-ReLU Grad-CAM exactly all-zero"",""exact_mechanism"":""UNRESOLVED_FROM_FROZEN_ARTIFACTS"",""gradient_norm"":""DATA_NOT_PERSISTED"",""implementation_or_loading_error_evidence"":""NOT_OBSERVED"",""numeric_underflow_nan_inf_evidence"":""NOT_OBSERVED"",""pre_relu_cam_statistics"":""DATA_NOT_PERSISTED"",""requested_map_count"":2633,""root_cause_conclusion"":""SYSTEMATIC_MODEL/TARGET_ISSUE"",""undefined_map_count"":10,""undefined_rate"":0.0037979491074819596}"
RES-P9-UNDEFINED-RCA-STANDARD_CBM-LOBULATION,CAT-M,undefined_map_rca,P9,standard_cbm,,lobulation,Undefined Grad-CAM root-cause classification,"Is the all-zero map expected, systematic, numeric, or an implementation error?",PASS,RESULT_ALREADY_EXISTS,USED_MAIN_TEXT,ART-P9-SPATIAL,repo://,artifacts/baseline_v2/audit/p9/spatial.json,models.standard_cbm.pooled_targets.lobulation,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf,88,PUBLIC_DEIDENTIFIED,False,SEC-LIMITATIONS,"[""RPT-T13""]","[""RPT-F07"",""RPT-FA05""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""activation_norm"":""DATA_NOT_PERSISTED"",""channel_weight_norm"":""DATA_NOT_PERSISTED"",""confirmed_observation"":""post-ReLU Grad-CAM exactly all-zero"",""exact_mechanism"":""UNRESOLVED_FROM_FROZEN_ARTIFACTS"",""gradient_norm"":""DATA_NOT_PERSISTED"",""implementation_or_loading_error_evidence"":""NOT_OBSERVED"",""numeric_underflow_nan_inf_evidence"":""NOT_OBSERVED"",""pre_relu_cam_statistics"":""DATA_NOT_PERSISTED"",""requested_map_count"":2633,""root_cause_conclusion"":""SYSTEMATIC_MODEL/TARGET_ISSUE"",""undefined_map_count"":88,""undefined_rate"":0.03342195214584125}"
RES-P9-UNDEFINED-RCA-STANDARD_CBM-SPICULATION,CAT-M,undefined_map_rca,P9,standard_cbm,,spiculation,Undefined Grad-CAM root-cause classification,"Is the all-zero map expected, systematic, numeric, or an implementation error?",PASS,RESULT_ALREADY_EXISTS,USED_MAIN_TEXT,ART-P9-SPATIAL,repo://,artifacts/baseline_v2/audit/p9/spatial.json,models.standard_cbm.pooled_targets.spiculation,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf,57,PUBLIC_DEIDENTIFIED,False,SEC-LIMITATIONS,"[""RPT-T13""]","[""RPT-F07"",""RPT-FA05""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""activation_norm"":""DATA_NOT_PERSISTED"",""channel_weight_norm"":""DATA_NOT_PERSISTED"",""confirmed_observation"":""post-ReLU Grad-CAM exactly all-zero"",""exact_mechanism"":""UNRESOLVED_FROM_FROZEN_ARTIFACTS"",""gradient_norm"":""DATA_NOT_PERSISTED"",""implementation_or_loading_error_evidence"":""NOT_OBSERVED"",""numeric_underflow_nan_inf_evidence"":""NOT_OBSERVED"",""pre_relu_cam_statistics"":""DATA_NOT_PERSISTED"",""requested_map_count"":2633,""root_cause_conclusion"":""SYSTEMATIC_MODEL/TARGET_ISSUE"",""undefined_map_count"":57,""undefined_rate"":0.02164830991264717}"
RES-P9-UNDEFINED-RCA-STANDARD_CBM-TEXTURE,CAT-M,undefined_map_rca,P9,standard_cbm,,texture,Undefined Grad-CAM root-cause classification,"Is the all-zero map expected, systematic, numeric, or an implementation error?",PASS,RESULT_ALREADY_EXISTS,USED_MAIN_TEXT,ART-P9-SPATIAL,repo://,artifacts/baseline_v2/audit/p9/spatial.json,models.standard_cbm.pooled_targets.texture,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf,13,PUBLIC_DEIDENTIFIED,False,SEC-LIMITATIONS,"[""RPT-T13""]","[""RPT-F07"",""RPT-FA05""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""activation_norm"":""DATA_NOT_PERSISTED"",""channel_weight_norm"":""DATA_NOT_PERSISTED"",""confirmed_observation"":""post-ReLU Grad-CAM exactly all-zero"",""exact_mechanism"":""UNRESOLVED_FROM_FROZEN_ARTIFACTS"",""gradient_norm"":""DATA_NOT_PERSISTED"",""implementation_or_loading_error_evidence"":""NOT_OBSERVED"",""numeric_underflow_nan_inf_evidence"":""NOT_OBSERVED"",""pre_relu_cam_statistics"":""DATA_NOT_PERSISTED"",""requested_map_count"":2633,""root_cause_conclusion"":""SYSTEMATIC_MODEL/TARGET_ISSUE"",""undefined_map_count"":13,""undefined_rate"":0.004937333839726547}"
