catalogue_item_id,category,entity_type,phase,model,fold,concept_or_target,result_name,scientific_question,scientific_status,availability_status,report_usage_status,source_artifact_id,source_root_alias,source_relative_path,source_field_path,source_sha256,row_or_sample_count,privacy_class,new_inference_required,report_section_id,report_table_ids,report_figure_ids,omission_reason,approval_reference,integrity_status,details
RES-P9-CONTRIBUTION-STANDARD_CBM-SUBTLETY,CAT-J,centered_contribution,P9,standard_cbm,,subtlety,Train-centered OOF concept contribution,Which concepts contribute positively or negatively to the frozen task score?,PASS,RESULT_ALREADY_EXISTS,USED_MAIN_TEXT,ART-P9-CONTRIBUTION-CENTERING,repo://,artifacts/baseline_v2/audit/p9/contribution_centering.json,standard_cbm,142356fe50bfbbfdc9592e85e456123de3a6449d11a57aa15ab47f8841993690,2633,PUBLIC_DEIDENTIFIED,False,SEC-RESULTS-WHY,"[""RPT-T15""]","[""RPT-F10""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""case_level_contribution_bar_renderable"":true,""centered_oof_point_source"":""mac-archive://p9/canonical_oof/standard_cbm_oof_predictions.parquet"",""centered_oof_point_source_sha256"":""c7ae75d343c8c7ba026ffbb64a25200385c5e06cdb171645e015e26b98225587"",""centering_constant_is_importance"":false,""empirical_oof_profile_renderable"":true,""mean_absolute_contribution_note"":""No authoritative frozen P9 aggregate stores model-by-concept mean absolute centered contribution. Per-sample contributions and train-fold centering constants exist, but deriving the aggregate would be a prohibited new scientific computation at the Catalogue gate. Any earlier narrative summary is non-authoritative for P10."",""mean_absolute_contribution_status"":""DATA_NOT_PERSISTED"",""pooled_signed_mean_rating_points"":0.2852049247048445,""train_fold_centering_constants_rating_points"":[0.03818399494011094,-0.02749499902845961,0.7932834873811271,0.5587224765617547,0.06332966366968946]}"
RES-P9-CONTRIBUTION-STANDARD_CBM-INTERNALSTRUCTURE,CAT-J,centered_contribution,P9,standard_cbm,,internalStructure,Train-centered OOF concept contribution,Which concepts contribute positively or negatively to the frozen task score?,PASS,RESULT_ALREADY_EXISTS,USED_MAIN_TEXT,ART-P9-CONTRIBUTION-CENTERING,repo://,artifacts/baseline_v2/audit/p9/contribution_centering.json,standard_cbm,142356fe50bfbbfdc9592e85e456123de3a6449d11a57aa15ab47f8841993690,2633,PUBLIC_DEIDENTIFIED,False,SEC-RESULTS-WHY,"[""RPT-T15""]","[""RPT-F10""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""case_level_contribution_bar_renderable"":true,""centered_oof_point_source"":""mac-archive://p9/canonical_oof/standard_cbm_oof_predictions.parquet"",""centered_oof_point_source_sha256"":""c7ae75d343c8c7ba026ffbb64a25200385c5e06cdb171645e015e26b98225587"",""centering_constant_is_importance"":false,""empirical_oof_profile_renderable"":true,""mean_absolute_contribution_note"":""No authoritative frozen P9 aggregate stores model-by-concept mean absolute centered contribution. Per-sample contributions and train-fold centering constants exist, but deriving the aggregate would be a prohibited new scientific computation at the Catalogue gate. Any earlier narrative summary is non-authoritative for P10."",""mean_absolute_contribution_status"":""DATA_NOT_PERSISTED"",""pooled_signed_mean_rating_points"":0.28106346178155117,""train_fold_centering_constants_rating_points"":[-0.005241508195243527,0.47896350110180286,0.48155444921574847,-0.25413318681111996,0.7041740535965682]}"
RES-P9-CONTRIBUTION-STANDARD_CBM-CALCIFICATION,CAT-J,centered_contribution,P9,standard_cbm,,calcification,Train-centered OOF concept contribution,Which concepts contribute positively or negatively to the frozen task score?,PASS,RESULT_ALREADY_EXISTS,USED_MAIN_TEXT,ART-P9-CONTRIBUTION-CENTERING,repo://,artifacts/baseline_v2/audit/p9/contribution_centering.json,standard_cbm,142356fe50bfbbfdc9592e85e456123de3a6449d11a57aa15ab47f8841993690,2633,PUBLIC_DEIDENTIFIED,False,SEC-RESULTS-WHY,"[""RPT-T15""]","[""RPT-F10""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""case_level_contribution_bar_renderable"":true,""centered_oof_point_source"":""mac-archive://p9/canonical_oof/standard_cbm_oof_predictions.parquet"",""centered_oof_point_source_sha256"":""c7ae75d343c8c7ba026ffbb64a25200385c5e06cdb171645e015e26b98225587"",""centering_constant_is_importance"":false,""empirical_oof_profile_renderable"":true,""mean_absolute_contribution_note"":""No authoritative frozen P9 aggregate stores model-by-concept mean absolute centered contribution. Per-sample contributions and train-fold centering constants exist, but deriving the aggregate would be a prohibited new scientific computation at the Catalogue gate. Any earlier narrative summary is non-authoritative for P10."",""mean_absolute_contribution_status"":""DATA_NOT_PERSISTED"",""pooled_signed_mean_rating_points"":0.40045994224407255,""train_fold_centering_constants_rating_points"":[0.9410976951468764,0.632548563286614,0.3873090186169903,0.14516763118703394,-0.10382319701715177]}"
RES-P9-CONTRIBUTION-STANDARD_CBM-SPHERICITY,CAT-J,centered_contribution,P9,standard_cbm,,sphericity,Train-centered OOF concept contribution,Which concepts contribute positively or negatively to the frozen task score?,PASS,RESULT_ALREADY_EXISTS,USED_MAIN_TEXT,ART-P9-CONTRIBUTION-CENTERING,repo://,artifacts/baseline_v2/audit/p9/contribution_centering.json,standard_cbm,142356fe50bfbbfdc9592e85e456123de3a6449d11a57aa15ab47f8841993690,2633,PUBLIC_DEIDENTIFIED,False,SEC-RESULTS-WHY,"[""RPT-T15""]","[""RPT-F10""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""case_level_contribution_bar_renderable"":true,""centered_oof_point_source"":""mac-archive://p9/canonical_oof/standard_cbm_oof_predictions.parquet"",""centered_oof_point_source_sha256"":""c7ae75d343c8c7ba026ffbb64a25200385c5e06cdb171645e015e26b98225587"",""centering_constant_is_importance"":false,""empirical_oof_profile_renderable"":true,""mean_absolute_contribution_note"":""No authoritative frozen P9 aggregate stores model-by-concept mean absolute centered contribution. Per-sample contributions and train-fold centering constants exist, but deriving the aggregate would be a prohibited new scientific computation at the Catalogue gate. Any earlier narrative summary is non-authoritative for P10."",""mean_absolute_contribution_status"":""DATA_NOT_PERSISTED"",""pooled_signed_mean_rating_points"":-0.07218363429933268,""train_fold_centering_constants_rating_points"":[0.4819367896294366,0.10386716508866961,-0.25119049943625704,-0.3335187929773357,-0.3620128338011768]}"
RES-P9-CONTRIBUTION-STANDARD_CBM-MARGIN,CAT-J,centered_contribution,P9,standard_cbm,,margin,Train-centered OOF concept contribution,Which concepts contribute positively or negatively to the frozen task score?,PASS,RESULT_ALREADY_EXISTS,USED_MAIN_TEXT,ART-P9-CONTRIBUTION-CENTERING,repo://,artifacts/baseline_v2/audit/p9/contribution_centering.json,standard_cbm,142356fe50bfbbfdc9592e85e456123de3a6449d11a57aa15ab47f8841993690,2633,PUBLIC_DEIDENTIFIED,False,SEC-RESULTS-WHY,"[""RPT-T15""]","[""RPT-F10""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""case_level_contribution_bar_renderable"":true,""centered_oof_point_source"":""mac-archive://p9/canonical_oof/standard_cbm_oof_predictions.parquet"",""centered_oof_point_source_sha256"":""c7ae75d343c8c7ba026ffbb64a25200385c5e06cdb171645e015e26b98225587"",""centering_constant_is_importance"":false,""empirical_oof_profile_renderable"":true,""mean_absolute_contribution_note"":""No authoritative frozen P9 aggregate stores model-by-concept mean absolute centered contribution. Per-sample contributions and train-fold centering constants exist, but deriving the aggregate would be a prohibited new scientific computation at the Catalogue gate. Any earlier narrative summary is non-authoritative for P10."",""mean_absolute_contribution_status"":""DATA_NOT_PERSISTED"",""pooled_signed_mean_rating_points"":0.13749331452749364,""train_fold_centering_constants_rating_points"":[0.1518588085113515,-0.04069182333291836,-0.1312107510459637,0.39743321928952324,0.3100771192154754]}"
RES-P9-CONTRIBUTION-STANDARD_CBM-LOBULATION,CAT-J,centered_contribution,P9,standard_cbm,,lobulation,Train-centered OOF concept contribution,Which concepts contribute positively or negatively to the frozen task score?,PASS,RESULT_ALREADY_EXISTS,USED_MAIN_TEXT,ART-P9-CONTRIBUTION-CENTERING,repo://,artifacts/baseline_v2/audit/p9/contribution_centering.json,standard_cbm,142356fe50bfbbfdc9592e85e456123de3a6449d11a57aa15ab47f8841993690,2633,PUBLIC_DEIDENTIFIED,False,SEC-RESULTS-WHY,"[""RPT-T15""]","[""RPT-F10""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""case_level_contribution_bar_renderable"":true,""centered_oof_point_source"":""mac-archive://p9/canonical_oof/standard_cbm_oof_predictions.parquet"",""centered_oof_point_source_sha256"":""c7ae75d343c8c7ba026ffbb64a25200385c5e06cdb171645e015e26b98225587"",""centering_constant_is_importance"":false,""empirical_oof_profile_renderable"":true,""mean_absolute_contribution_note"":""No authoritative frozen P9 aggregate stores model-by-concept mean absolute centered contribution. Per-sample contributions and train-fold centering constants exist, but deriving the aggregate would be a prohibited new scientific computation at the Catalogue gate. Any earlier narrative summary is non-authoritative for P10."",""mean_absolute_contribution_status"":""DATA_NOT_PERSISTED"",""pooled_signed_mean_rating_points"":0.2458192328655171,""train_fold_centering_constants_rating_points"":[0.2600809215359176,0.1290072656659644,0.21139806616072293,0.24331940363494653,0.3852905073300341]}"
RES-P9-CONTRIBUTION-STANDARD_CBM-SPICULATION,CAT-J,centered_contribution,P9,standard_cbm,,spiculation,Train-centered OOF concept contribution,Which concepts contribute positively or negatively to the frozen task score?,PASS,RESULT_ALREADY_EXISTS,USED_MAIN_TEXT,ART-P9-CONTRIBUTION-CENTERING,repo://,artifacts/baseline_v2/audit/p9/contribution_centering.json,standard_cbm,142356fe50bfbbfdc9592e85e456123de3a6449d11a57aa15ab47f8841993690,2633,PUBLIC_DEIDENTIFIED,False,SEC-RESULTS-WHY,"[""RPT-T15""]","[""RPT-F10""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""case_level_contribution_bar_renderable"":true,""centered_oof_point_source"":""mac-archive://p9/canonical_oof/standard_cbm_oof_predictions.parquet"",""centered_oof_point_source_sha256"":""c7ae75d343c8c7ba026ffbb64a25200385c5e06cdb171645e015e26b98225587"",""centering_constant_is_importance"":false,""empirical_oof_profile_renderable"":true,""mean_absolute_contribution_note"":""No authoritative frozen P9 aggregate stores model-by-concept mean absolute centered contribution. Per-sample contributions and train-fold centering constants exist, but deriving the aggregate would be a prohibited new scientific computation at the Catalogue gate. Any earlier narrative summary is non-authoritative for P10."",""mean_absolute_contribution_status"":""DATA_NOT_PERSISTED"",""pooled_signed_mean_rating_points"":0.15874690786565102,""train_fold_centering_constants_rating_points"":[0.22702283613130403,0.2305315599673547,0.07967699480158087,0.1435739343448594,0.1129292140831561]}"
RES-P9-CONTRIBUTION-STANDARD_CBM-TEXTURE,CAT-J,centered_contribution,P9,standard_cbm,,texture,Train-centered OOF concept contribution,Which concepts contribute positively or negatively to the frozen task score?,PASS,RESULT_ALREADY_EXISTS,USED_MAIN_TEXT,ART-P9-CONTRIBUTION-CENTERING,repo://,artifacts/baseline_v2/audit/p9/contribution_centering.json,standard_cbm,142356fe50bfbbfdc9592e85e456123de3a6449d11a57aa15ab47f8841993690,2633,PUBLIC_DEIDENTIFIED,False,SEC-RESULTS-WHY,"[""RPT-T15""]","[""RPT-F10""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""case_level_contribution_bar_renderable"":true,""centered_oof_point_source"":""mac-archive://p9/canonical_oof/standard_cbm_oof_predictions.parquet"",""centered_oof_point_source_sha256"":""c7ae75d343c8c7ba026ffbb64a25200385c5e06cdb171645e015e26b98225587"",""centering_constant_is_importance"":false,""empirical_oof_profile_renderable"":true,""mean_absolute_contribution_note"":""No authoritative frozen P9 aggregate stores model-by-concept mean absolute centered contribution. Per-sample contributions and train-fold centering constants exist, but deriving the aggregate would be a prohibited new scientific computation at the Catalogue gate. Any earlier narrative summary is non-authoritative for P10."",""mean_absolute_contribution_status"":""DATA_NOT_PERSISTED"",""pooled_signed_mean_rating_points"":-0.12151383321319384,""train_fold_centering_constants_rating_points"":[-0.15453660195717128,0.26054653771265746,-0.22738082988033875,-0.34919329956112255,-0.13700497237999407]}"
RES-P9-CONTRIBUTION-MIXED_CEM-SUBTLETY,CAT-J,centered_contribution,P9,mixed_cem,,subtlety,Train-centered OOF concept contribution,Which concepts contribute positively or negatively to the frozen task score?,PASS,RESULT_ALREADY_EXISTS,USED_MAIN_TEXT,ART-P9-CONTRIBUTION-CENTERING,repo://,artifacts/baseline_v2/audit/p9/contribution_centering.json,mixed_cem,142356fe50bfbbfdc9592e85e456123de3a6449d11a57aa15ab47f8841993690,2633,PUBLIC_DEIDENTIFIED,False,SEC-RESULTS-WHY,"[""RPT-T15""]","[""RPT-F10""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""case_level_contribution_bar_renderable"":true,""centered_oof_point_source"":""mac-archive://p9/canonical_oof/cem_oof_predictions.parquet"",""centered_oof_point_source_sha256"":""a42350e63908b2fa8fdfdd5c952428efe60f1ae5d6dbeccfe531f0ce121b996f"",""centering_constant_is_importance"":false,""empirical_oof_profile_renderable"":true,""mean_absolute_contribution_note"":""No authoritative frozen P9 aggregate stores model-by-concept mean absolute centered contribution. Per-sample contributions and train-fold centering constants exist, but deriving the aggregate would be a prohibited new scientific computation at the Catalogue gate. Any earlier narrative summary is non-authoritative for P10."",""mean_absolute_contribution_status"":""DATA_NOT_PERSISTED"",""pooled_signed_mean_rating_points"":0.13259886388843442,""train_fold_centering_constants_rating_points"":[-0.0385259052699701,0.18491160307997845,0.2981252073839556,0.09116418018086438,0.12731923406734375]}"
RES-P9-CONTRIBUTION-MIXED_CEM-INTERNALSTRUCTURE,CAT-J,centered_contribution,P9,mixed_cem,,internalStructure,Train-centered OOF concept contribution,Which concepts contribute positively or negatively to the frozen task score?,PASS,RESULT_ALREADY_EXISTS,USED_MAIN_TEXT,ART-P9-CONTRIBUTION-CENTERING,repo://,artifacts/baseline_v2/audit/p9/contribution_centering.json,mixed_cem,142356fe50bfbbfdc9592e85e456123de3a6449d11a57aa15ab47f8841993690,2633,PUBLIC_DEIDENTIFIED,False,SEC-RESULTS-WHY,"[""RPT-T15""]","[""RPT-F10""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""case_level_contribution_bar_renderable"":true,""centered_oof_point_source"":""mac-archive://p9/canonical_oof/cem_oof_predictions.parquet"",""centered_oof_point_source_sha256"":""a42350e63908b2fa8fdfdd5c952428efe60f1ae5d6dbeccfe531f0ce121b996f"",""centering_constant_is_importance"":false,""empirical_oof_profile_renderable"":true,""mean_absolute_contribution_note"":""No authoritative frozen P9 aggregate stores model-by-concept mean absolute centered contribution. Per-sample contributions and train-fold centering constants exist, but deriving the aggregate would be a prohibited new scientific computation at the Catalogue gate. Any earlier narrative summary is non-authoritative for P10."",""mean_absolute_contribution_status"":""DATA_NOT_PERSISTED"",""pooled_signed_mean_rating_points"":0.4860825280971527,""train_fold_centering_constants_rating_points"":[0.3711710866782161,0.1533782660722556,0.5854142021711491,0.4728429257146443,0.8476061598494986]}"
